id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/jar/balanso_ataskaitos,,,,,,,,,,,,Juridinių asmenų pateikti finansinės atskaitomybės dokumentai – balanso ataskaitos,"Juridinių asmenų registre tvarkomų juridinių asmenų finansinės atskaitomybės dokumentų duomenys iš balanso ataskaitų (apie juridinių asmenų nuosavą kapitalą; apie juridinių asmenų mokėtinas sumas ir kitus įsipareigojimus; apie juridinių asmenų trumpalaikį turtą; apie juridinių asmenų ilgalaikį turtą) (RAW data). Individualių įmonių, komanditinių ūkinių bendrijų, tikrųjų ūkinių bendrijų pavadinimai nuasmeninti."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,BalansoAtaskaita,,,juridinis_asmuo,,,4,open,,Juridinių asmenų pateikti finansinės atskaitomybės dokumentai – balanso ataskaitos,
,,,,,juridinis_asmuo,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo,,,4,open,,Juridinis asmuo juridinių asmenų registre,
,,,,,forma,ref,/datasets/gov/rc/jar/formos_statusai/Forma,,,4,open,,juridinio asmens formos kodas iš JAR teisinių formų klasifikatoriaus,
,,,,,statusas,ref,/datasets/gov/rc/jar/formos_statusai/Statusas,,,4,open,,juridinio asmens teisinio statuso kodas iš JAR teisinių statusų klasifikatoriaus,
,,,,,template_id,string,,,,2,open,,finansinės ataskaitos rūšies kodas,
,,,,,template_name,string,,,,2,open,,finansinės ataskaitos rūšies pavadinimas,
,,,,,standard_id,string,,,,2,open,,finansinės ataskaitos dokumentų rinkinio kodas,
,,,,,standard_name,string,,,,2,open,,finansinės ataskaitos dokumentų rinkinio tipas,
,,,,,line_type_id,string,,,,2,open,,rodiklio kodas,
,,,,,line_name,string,,,,2,open,,rodiklio pavadinimas,
,,,,,reiksme,integer,,,,2,open,,rodiklio  reikšmė eurais,
,,,,,laikotarpis_nuo,date,D,,,4,open,,finansinių metų pradžios data,
,,,,,laikotarpis_iki,date,D,,,4,open,,finansinių metų pabaigos data,
,,,,,reg_date,date,D,,,4,open,,finansinės atskaitomybės dokumentų įregistravimo JAR data,
