id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/nirvar/neveiksnus_pagal_amziu_lyti,,,,,,,,,,,,NIRVAR statistika apie teismo tvarka neveiksniais pripažintus asmenis pagal amžiaus grupes ir lytį,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,NeveiksnusAmziusLytis,,,"amziaus_grupe, asm_lytis",,,4,,,NIRVAR statistika apie teismo tvarka neveiksniais pripažintus asmenis pagal amžiaus grupes ir lytį,
,,,,,amziaus_grupe,string,,,,4,open,,Ribotai veiksnių asmenų amžiaus grupė (18-24; 25-34; 35-44; 45-54; 55-64; 65-84; 85+),
,,,,,,enum,,,"""18-24""",,,,Nuo 18 iki 24,
,,,,,,,,,"""25-34""",,,,Nuo 25 iki 34,
,,,,,,,,,"""35-44""",,,,Nuo 35 iki 44,
,,,,,,,,,"""45-54""",,,,Nuo 45 iki 54,
,,,,,,,,,"""55-64""",,,,Nuo 55 iki 64,
,,,,,,,,,"""65-84""",,,,Nuo 65 iki 84,
,,,,,,,,,"""85+""",,,,Nuo 85,
,,,,,asm_lytis,string,,,,4,open,,Ribotai veiksnių asmenų lytis (V – vyras / M- moteris),
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,neveiksniu_asm_skaicius,string,,,,3,open,,Neveiksnių asmenų skaičius,
