id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ntr/ntr_objektai,,,,,,,,,,,,NTR objektus apibūdinantys klasifikatoriai,
,,,,NtrObjektoTipas,,,obje_tipas,,,4,,,NT objektų tipų klasifikatorius,
,,,,,obje_tipas,integer,,,,4,open,,Turto objekto tipas,
,,,,,objg_grupe,ref,NtrTurtoGrupe,,,4,open,,Turto objekto grupė,
,,,,,obje_pav,string,,,,3,open,,Pavadinimas,
,,,,,obje_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,obje_santrumpa,string,,,,3,open,,Santrumpa,
,,,,,obje_eilnr,integer,,,,4,open,,Eilės numeris aplikacijose,
,,,,,obje_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,obje_leisti_prideti,integer,,,,4,open,,Pridėjimo požymis. Naudojamas aplikacijose,
,,,,,,enum,,,1,,,,Galima,
,,,,,,,,,0,,,,Negalima,
,,,,,obje_pav_vard,string,,,,3,open,,"Pavadinimas (trumpas), vardininko linksnis",
,,,,,obje_pav_kilm,string,,,,3,open,,"Pavadinimas (trumpas), kilmininko linksnis",
,,,,,obje_pav_naud,string,,,,3,open,,"Pavadinimas (trumpas), naudininko linksnis",
,,,,,obje_pav_en,string,,,,3,open,,Pavadinimas angliškai,
,,,,,obje_pav_i_en,string,,,,3,open,,Pavadinimas (ilgas) angliškai,
,,,,,obje_pav_kilm_en,string,,,,3,open,,"Pavadinimas (trumpas) angliškai, vardininko linksnis",
,,,,,obje_pav_naud_en,string,,,,3,open,,"Pavadinimas (trumpas) angliškai, kilmininko linksnis",
,,,,,obje_pav_vard_en,string,,,,3,open,,"Pavadinimas (trumpas) angliškai, naudininko linksnis",
,,,,,,,,,,,,,,
,,,,NtrLeisinasObjektoTipas,,,"regt_tipas, obje_tipas, loti_priklauso",,,3,,,Nurodytam registro tipui leistinų objektų tipų sąrašas - klasifikatorius,
,,,,,regt_tipas,integer,,,,3,open,,Registro tipas,
,,,,,obje_tipas,ref,NtrObjektoTipas,,,4,open,,Turto objekto tipas,
,,,,,loti_priklauso,integer,,,,3,open,,Priklauso objekto tipui,
,,,,,loti_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,loti_data_nuo,datetime,S,,,4,open,,Įrašas galioja nuo,
,,,,,loti_data_iki,datetime,S,,,4,open,,Įrašas galioja iki,
,,,,,,,,,,,,,,
,,,,NtrTurtoGrupe,,,objg_grupe,,,4,,,NTR turto objektų grupių klasifikatorius,
,,,,,objg_grupe,integer,,,,4,open,,Turto objekto grupė,
,,,,,objg_pav,string,,,,3,open,,Pavadinimas,
,,,,,objg_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,objg_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,,,,,,,,,,
,,,,NtrObjektoBukle,,,obuk_bukle,,,4,,,NTR objektų būklių klasifikatorius,
,,,,,obuk_bukle,integer,,,,4,open,,Turto objekto būklė,
,,,,,obuk_pav,string,,,,3,open,,Pavadinimas,
,,,,,obuk_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,obuk_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,obuk_pav_en,string,,,,3,open,,Pavadinimas angliškai,
,,,,,obuk_pav_i_en,string,,,,3,open,,Pavadinimas (ilgas) angliškai,
,,,,,,,,,,,,,,
,,,,NtrObjektoStatusas,,,osta_statusas,,,4,,,NTR objektų statusų klasifikatorius,
,,,,,osta_statusas,integer,,,,4,open,,Turto objekto statusas,
,,,,,osta_pav,string,,,,3,open,,Pavadinimas,
,,,,,osta_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,osta_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,osta_pav_en,string,,,,3,open,,Pavadinimas angliškai,
,,,,,osta_pav_i_en,string,,,,3,open,,Pavadinimas (ilgas) angliškai,
