id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ntr/ntr_patalpos,,,,,,,,,,,,Nekilnojamojo turto registre įregistruotų patalpų duomenys pagal savivaldybes,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,NtrPatalpa,,,id,,,4,,,,
,,,,,id,integer,,id,,4,open,,Identifikatorius,Patalpų / buto identifikatorius šiame duomenų rinkinyje
,,,,,pastato_id,integer,,pastato_id,,4,open,,Pastato identifikatorius,"Pastato, kuriam priklauso patalpos, identifikatorius šiame duomenų rinkinyje"
,,,,,savivaldybe,string,,sav_pavadinimas,,2,open,,Savivaldybė,"Savivaldybės, kurioje yra patalpos / butas, pavadinimas"
,,,,,,comment,,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,,Spinta:216,,
,,,,,seniunija,string,,seniunijos_pavad,,2,open,,Seniūnija,"Savivaldybėje esančios seniūnijos, kurioje yra patalpos / butas, pavadinimas"
,,,,,,comment,,,"create(property: ""seniunija"", type: ""ref"", ref: ""datasets/gov/rc/ar/seniunija/Seniunija"")",2,open,,,
,,,,,,comment,,,"update(property: ""seniunija.pavadinimas"", type: """")",2,,Spinta:216,,
,,,,,obje_tipas,ref,/datasets/gov/rc/ntr/ntr_objektai/NtrObjetoTipas,obje_tipas,,4,,,Objekto tipas,Objekto (patalpų / buto) tipas
,,,,,pask_tipas,ref,/datasets/gov/rc/ntr/ntr_paskirtys/NtrPaskirtiesTipas,pask_tipas,,4,,,Paskirties tipas ,Objekto (patalpų / buto) paskirtis
,,,,,stat_pradzios_metai,integer,,stat_pradzios_metai,,3,open,,Statybos pradžios metai,Objekto (patalpų / buto) statybos pradžios metai
,,,,,stat_pabaigos_metai,integer,,stat_pabaigos_metai,,3,open,,Statybos pabaigos metai,Objekto (patalpų / buto) statybos užbaigimo metai
,,,,,rekonstr_pradzios_metai,integer,,rekonstr_pradzios_metai,,3,open,,Rekonstrukcijos pradžios metai,Objekto (patalpų / buto) rekonstrukcijos pradžios metai
,,,,,rekonstr_pabaigos_metai,integer,,rekonstr_pabaigos_metai,,3,open,,Rekonstrukcijos pabaigos metai,Objekto (patalpų / buto) rekonstrukcijos pabaigos metai
,,,,,kap_remonto_pradzios_metai,integer,,kap_remonto_pradzios_metai,,3,open,,Kapitalinio remonto pradžios metai,Objekto (patalpų / buto) kapitalinio remonto pradžios metai
,,,,,kap_remonto_pabaigos_metai,integer,,kap_remonto_pabaigos_metai,,3,open,,Kapitalinio remonto pabaigos metai,Objekto (patalpų / buto) kapitalinio remonto pabaigos metai
,,,,,sildymas,integer,,sildymas,,2,open,,Šildymas,Objekto (patalpų / buto) šildymo sistema
,,,,,vandentiekis,integer,,vandentiekis,,2,open,,Vandentiekis,Objekto (patalpų / buto) vandentiekio sistema
,,,,,nuoteku_salinimas,integer,,nuoteku_salinimas,,2,open,,Nuotakų šalinimas,Nuotakų šalinimo sistema objekte (patalpose / bute) 
,,,,,dujos,integer,,dujos,,2,open,,Dujos,Objekto (patalpų / buto) aprūpinimas dujomis
,,,,,karstas_vanduo,integer,,karstas_vanduo,,2,open,,Karštas vanduo,Objekto (patalpų / buto) aprūpinimas karštu vandeniu
,,,,,elektra,string,,elektra,,2,open,,Elektra,Objekto (patalpų / buto) aprūpinimas elektros instaliacija 
,,,,,virykle,integer,,virykle,,2,open,,Viryklė,Viryklės objekte (patalpose / bute) buvimo požymis ir tipas
,,,,,vonios_kambarys,integer,,vonios_kambarys,,2,open,,Vonios kambarys,Vonios kambario objekte (patalpose / bute) buvimo požymis
,,,,,vedin_kondicionav,integer,,vedin_kondicionav,,2,open,,Vėdinimas-kondicionavimas,Objekto (patalpų / buto) aprūpinimas vėdinimo kondicionavimo sistema
,,,,,kambariu_sk,integer,U,kambariu_sk,,4,open,,Kambarių skaičius,Objekto (patalpų / buto) kambarių skaičius
,,,,,aukstas,integer,,aukstas,,4,open,,Aukštas,"Aukštas, kuriame yra objektas (patalpos / butas)"
,,,,,baigtumo_proc,integer,,baigtumo_proc,,3,open,,Baigtumo procentas,Objekto (patalpų / buto) statybos baigtumas procentais
,,,,,bendras_plotas,number,,bendras_plotas,,3,open,,Bendras plotas,Objekto (patalpų / buto) bendrasis plotas
,,,,,naudingas_plotas,number,,naudingas_plotas,,3,open,,Naudingas plotas,"Gyvenamosios paskirties patalpų naudingasis plotas - visų kambarių (gyvenamojo ploto), verslo patalpų (verslo ploto) ir apšiltintų pagalbinių patalpų (pagalbinio naudingojo ploto) plotų suma"
,,,,,gyv_plotas,number,,gyv_plotas,,3,open,,Gyvenamasis plotas,"Gyvenamosios paskirties patalpų, suformuotų kaip atskiri Kadastro objektai (buto gyvenamuosiuose ir negyvenamuosiuose pastatuose; vieno buto namo; atskiro kambario su bendrojo naudojimo patalpomis), plotas skaičiuojamas kaip gyventi skirtų uždarų ar pusiau uždarų patalpų plotų suma"
,,,,,verslo_plotas,number,,verslo_plotas,,3,open,,Verslo plotas,"Verslo plotas - gyvenamojoje patalpoje verslui skirtų patalpų, kuriose užsiimama kuria nors darbine ar kita veikla, aptarnaujami klientai, plotas"
,,,,,pagalb_nenaud_plotas,number,,pagalb_nenaud_plotas,,3,open,,Pagalbinis nenaudingas plotas,"Pagalbinis nenaudingas plotas - neapšiltintų pagalbinių patalpų (uždarų lodžijų, įstiklintų balkonų, uždarų verandų, oranžerijų, atriumų, žiemos sodų, priemenių, sandėlių, kitų neapšiltintų  patalpų) plotai įskaičiuojami į gyvenamosios patalpos pagalbinį nenaudingąjį plotą"
,,,,,pagalb_naud_plotas,number,,pagalb_naud_plotas,,3,open,,Pagalbinis naudingas plotas,"Pagalbinis naudingas plotas - pagalbinio ploto dalis, esanti apšiltintomis atitvaromis apribotoje pastato erdvėje, įskaičiuojama į pagalbinį naudingąjį gyvenamosios patalpos plotą"
,,,,,rusiu_plotas,number,,rusiu_plotas,,3,open,,Rūsių plotas,"Objekto (patalpų / buto) rūsių, pusrūsių ir kitų įgilintų patalpų plotas"
,,,,,garazu_plotas,number,,garazu_plotas,,3,open,,Garažų plotas,Objekto (patalpų / buto) garažų patalpų plotas pastate
,,,,,pagrindinis_plotas,number,,pagrindinis_plotas,,3,open,,Pagrindinis plotas,Objekto (patalpų / buto) pagrindinis plotas
,,,,,pagalbinis_plotas,number,,pagalbinis_plotas,,3,open,,Pagalbinis plotas,Objekto (patalpų / buto) pagalbinis plotas
,,,,,pastato_energ_naud_klase,integer,,pastato_energ_naud_klase,,3,open,,Pastato energetinio naudingumo klasė,Pagal teisės aktų reikalavimus objektui (patalpoms/butui)  nustatyta energetinio naudingumo klasė
