id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ntr/ntr_teises,,,,,,,,,,,,NTR teisių tipų ir teisių potipių klasifikatoriai,
,,,,NtrTeisesTipas,,,teit_tipas,,,4,,,NTR teisių ir suvaržymų tipai,
,,,,,teit_tipas,integer,,,,4,open,,Teisės (suvaržymo) tipas,
,,,,,teit_pav,string,,,,3,open,,Pavadinimas,
,,,,,teit_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,teit_eilnr,integer,,,,4,open,,Eilės numeris aplikacijose,
,,,,,teit_poz,integer,,,,3,open,,Aplikacijos požymis,
,,,,,teit_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,teit_pav_en,string,,,,3,open,,Pavadinimas angliškai,
,,,,,teit_pav_i_en,string,,,,3,open,,Pavadinimas angliškai (ilgas),
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,NtrTeisesPotipis,,,"teit_tipas, teip_potipis",,,4,,,NTR teisių ir suvaržymų potipiai,
,,,,,teit_tipas,ref,NtrTeisesTipas,,,4,open,,Teisės (suvaržymo) tipas,
,,,,,teip_potipis,integer,,,,4,open,,Teisės (suvaržymo) potipis,
,,,,,teip_pav,string,,,,3,open,,Pavadinimas,
,,,,,teip_pav_i,string,,,,3,open,,Pavadinimas (ilgas),
,,,,,teip_eilnr,integer,,,,4,open,,Eilės numeris aplikacijose,
,,,,,teip_poz,integer,,,,4,open,,Teisės potipio požymis,
,,,,,,enum,,,0,,,,Būtinas,
,,,,,,,,,1,,,,Galimas,
,,,,,,,,,2,,,,Nenurodomas,
,,,,,teip_koregavimo_data,datetime,S,,,4,open,,Įrašo koregavimo data,
,,,,,teip_naudojama,integer,,,,4,open,,Teisės potipis naudojimo požymis,
,,,,,,enum,,,0,,,,Nenaudojama,
,,,,,,,,,1,,,,Naudojama,
,,,,,teip_plotas_pav,string,,,,3,open,,Ploto pavadinimas,
,,,,,teip_pav_en,string,,,,3,open,,Pavadinimas angliškai,
,,,,,teip_pav_i_en,string,,,,3,open,,Pavadinimas angliškai (ilgas),
,,,,,teip_plotas_pav_en,string,,,,3,open,,Ploto pavadinimas angliškai,
,,,,,teip_ak_kodo_poz,integer,,,,4,open,,Asmens kodo rodymas išraše.,
,,,,,,enum,,,0,,,,Nerodyti asmens kodo,
,,,,,,,,,1,,,,Rodyti asmens kodą,
,,,,,,,,,2,,,,Nerodyti asmens kodo ir gimimo datos,
,,,,,teip_istorine_nuo,datetime,S,,,4,open,,"Teisės potipio istorijos požymis, nuo kada nenaudojamas teisės potipis ",
