id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/stsr/sandoriai,,,,,,,,,,,,STSR duomenys apie įkeitimus ir hipotekas,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Sandoris,,,nr,,,4,,,"Duomenys apie įkeitimus ir hipotekas (hipotekos/įkeitimų rūšys, vieta, vertė, terminai)",
,,,,,nr,integer,,,,4,open,,Hipotekos / įkeitimo dirbtinis identifikatorius šiame duomenų rinkinyje,
,,,,,tipas,string,,,,3,open,,Hipotekos / įkeitimo tipas šiame duomenų rinkinyje,
,,,,,ireg_ketv,date,Q,,,4,open,,Hipotekos / įkeitimo įregistravimo data (metai - ketvirtis),
,,,,,isreg_ketv,date,Q,,,4,open,,Hipotekos / įkeitimo išregistravimo data (metai - ketvirtis),
,,,,,iraso_priezastis,string,,,,3,open,,Hipotekos / įkeitimo paskutinio įregistruoto įrašo tipas Sutarčių ir teisių suvaržymų registre ,
,,,,,sudarymo_vieta,string,,,,3,open,,Hipotekos / įkeitimo sudarymo vieta (sav.; apskr.),
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Hipotekos / įkeitimo sudarymo vietos savivaldybės kodas iš Adresų registro (tik didmiesčių savivaldybės),
,,,,,apskritis,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Hipotekos / įkeitimo sudarymo vietos apskrities kodas iš Adresų registro,
,,,,,pri_dydis_rez,string,,,,3,open,,Prievolės rėžių dydžiai,
,,,,,objektu_verte_rez,string,,,,3,open,,Bendras įkeičiamų daiktų įkainojimas (rėžiai),
,,,,,pri_terminas_metai,date,Y,,,4,open,,Prievolės įvykdymo terminas (metai),
,,,,,maksimalus,integer,,,,4,open,,Ar maksimalioji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,paprastas,integer,,,,4,open,,Ar paprastoji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,jungtinis,integer,,,,4,open,,Ar jungtinė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,svetimas,integer,,,,4,open,,Ar svetimo turto hipoteka (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,bendras,integer,,,,4,open,,Ar bendroji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,salyginis,integer,,,,4,open,,Ar sąlyginė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,pareikstinis,integer,,,,4,open,,Ar pareikštinė  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,imones,integer,,,,4,open,,Ar įmonės hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
