id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/stsr/skolininkai,,,,,,,,,,,,STSR duomenys apie įkeitimo ir hipotekos sandorių skolininkus,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Skolininkas,,,st_nr,,,2,,,"Duomenys apie įkeitimo ir hipotekos sandorių skolininkus (skolininko tipą, amžių, formą sandorių rūšis, sudarymo vietas, vertes, terminus)",
,,,,,st_nr,integer,,,,2,open,,Hipotekos / įkeitimo dirbtinis identifikatorius šiame duomenų rinkinyje,
,,,,,amnt_grupe,string,,,,4,open,,Skolininko asmens tipo grupė,
,,,,,,enum,,,"""FA""",,,,Fizinis asmuo,
,,,,,,,,,"""JA""",,,,Juridinis asmuo,
,,,,,,,,,"""UFA""",,,,Užsienio fizinis asmuo,
,,,,,,,,,"""UJA""",,,,Užsienio juridinis asmuo,
,,,,,amziaus_grupe,string,,,,3,open,,"Skolininko amžiaus grupė, jeigu skolininkas fizinis asmuo",
,,,,,reg_metai,integer,,,,2,open,,Skolininko registracijos metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,sal_grupe,string,,,,3,open,,Skolininko šalies grupės pavadinimas,
,,,,,st_tipas,string,,,,2,open,,Hipotekos / įkeitimo tipas šiame duomenų rinkinyje,
,,,,,st_ireg_ketv,string,,,,2,open,,Hipotekos / įkeitimo įregistravimo data (metai - ketvirtis),
,,,,,st_isreg_ketv,string,,,,2,open,,Hipotekos / įkeitimo išregistravimo data (metai - ketvirtis),
,,,,,iraso_priezastis,string,,,,2,open,,Hipotekos / įkeitimo paskutinio įregistruoto įrašo tipas Sutarčių ir teisių suvaržymų registre ,
,,,,,sudarymo_vieta,string,,,,3,open,,Hipotekos / įkeitimo sudarymo vieta (sav.; apskr.),
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Hipotekos / įkeitimo sudarymo vietos savivaldybės kodas iš Adresų registro (tik didmiesčių savivaldybės),
,,,,,apskritis,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Hipotekos / įkeitimo sudarymo vietos apskrities kodas iš Adresų registro,
,,,,,pri_dydis_rez,string,,,,3,open,,Prievolės rėžių dydžiai,
,,,,,pri_terminas_metai,integer,,,,2,open,,Prievolės įvykdymo terminas (metai),
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,maksimalus,integer,,,,4,open,,Ar maksimalioji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,paprastas,integer,,,,4,open,,Ar paprastoji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,jungtinis,integer,,,,4,open,,Ar jungtinė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,svetimas,integer,,,,4,open,,Ar svetimo turto hipoteka (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,bendras,integer,,,,4,open,,Ar bendroji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,salyginis,integer,,,,4,open,,Ar sąlyginė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,pareikstinis,integer,,,,4,open,,Ar pareikštinė  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,imones,integer,,,,4,open,,Ar žmonės hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,formavimo_data,date,D,,,4,open,,Duomenų formavimo data,
