id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/stacionaras,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Kortele,,,vda_id,,,4,open,,"Pateikiami Respublikinio Priklausomybės Ligų Centro Vilniaus filialo stacionaro skyriuose gydytų pacientų duomenys nuo 2016m. Duomenys apima pacientų demografinę (gyvenamoji vieta, gimimo metų ir amžiaus grupės, lytis, išsilavinimas, užimtumas, sveikatos draudimas) ir su gydymu susijusią (sutrikimas, taikytas gydymas, duomenys apie paciento būklę ir išrašymą) informaciją.",
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,skyrius,string,,,,,,,Vilniaus Filialo (VF) skyrius iš kurio pateikti duomenys: VF SPRS – Stacionarinės psichosocialininės reabilitacijos skyrius (Motyvacinės terapijos); VF AAGS – Alkoholinės abstinencijos gydymo skyrius; VF NAGS – Narkotinės abstinencijos gydymo skyrius; VF PGS – Psichosocialinio gydymo skyrius (Minesota); VF VJRS – Vaikų ir jaunimo reabilitacijos skyrius.,
,,,,,,enum,,,"""Alkoholinės abstinencijos gydymo skyrius""",,,,,
,,,,,,,,,"""Psichosocialinio gydymo skyrius (Minesota)""",,,,,
,,,,,,,,,"""Narkotinės abstinencijos gydymo skyrius""",,,,,
,,,,,,,,,"""Stacionarinės psichosocialininės reabilitacijos skyrius (Motyvacinės terapijos)""",,,,,
,,,,,,,,,"""Vaikų ir jaunimo reabilitacijos skyrius""",,,,,
,,,,,ataskaitiniai_metai,date,,,,4,open,,"Metai, už kuriuos pateikta ataskaita.",
,,,,,pacientas,string,,,,4,open,,Paciento žyma,
,,,,,lytis,string,,,,4,open,,Paciento lytis,
,,,,,,enum,,,"""vyras""",,,,,
,,,,,,,,,"""moteris""",,,,,
,,,,,gimimo_metai_gr,string,,,,4,open,,Paciento gimimo metų grupė.,
,,,,,amzius_gr,string,,,,4,open,,Paciento amžiaus grupė.,
,,,,,gyvenamoji_vieta,string,,,,4,open,,"Paciento gyvenamoji vieta. Jei pacientas kilęs ne iš Vilniaus miesto, nurodoma jo gyvenamosios vietos apskritis. Jei pacientas gyvena ne Lietuvoje - nurodoma užsienis.",
,,,,,,enum,,,"""Vilniaus miestas""",,,,,
,,,,,,,,,"""Vilniaus apskritis""",,,,,
,,,,,,,,,"""Utenos apskritis""",,,,,
,,,,,,,,,"""Alytaus apskritis""",,,,,
,,,,,,,,,"""Kauno apskritis""",,,,,
,,,,,,,,,"""Panevėžio apskritis""",,,,,
,,,,,,,,,"""Šiaulių apskritis""",,,,,
,,,,,,,,,"""Marijampolės apskritis""",,,,,
,,,,,,,,,"""Klaipėdos apskritis""",,,,,
,,,,,,,,,"""Tauragės apskritis""",,,,,
,,,,,,,,,"""Telšių apskritis""",,,,,
,,,,,,,,,"""užsienis""",,,,,
,,,,,issilavinimas,string,,,,4,open,,Paciento išsilavinimas,
,,,,,sveikatos_draudimas,boolean,,,,4,open,,"Nuoroda, ar pacientas turi sveikatos draudimą",
,,,,,uzimtumas,string,,,,4,open,,Paciento užimtumo statusas,
,,,,,sutrikimas,string,,,,4,open,,"Sutrikimai, klasifikuojami pagal TLK sisteminį ligų sąrašą",
,,,,,vizitas,string,,,,4,open,,Paciento vizito tipas,
,,,,,,enum,,,"""pirminis""",,,,,
,,,,,,,,,"""pakartotinis""",,,,,
,,,,,taikytas_gydymas,string,,,,4,open,,Pacientui taikytas gydymo tipas,
,,,,,,enum,,,"""medikamentinis abstinencijos gydymas""",,,,,
,,,,,,,,,"""nemedikamentinis gydymas""",,,,,
,,,,,,,,,"""kita""",,,,,
,,,,,,,,,"""atkryčio gydymas""",,,,,
,,,,,israsytas,string,,,,4,open,,Informacija apie paciento išrašymą po taikyto gydymo.,
,,,,,,enum,,,"""perkeltas į psichosocialinio profilio stacionarinius skyrius RPLC""",,,,,Pacientas perkeltas į Psichosocialinio gydymo (Minesotos) ar Psichosocialinės reabilitacijos skyrių
,,,,,,,,,"""iškeltas į kitas stacionarines asmens sveikatos priežiūros, reabilitacijos įstaigas""",,,,,Pacientas perkeltas į kitas reabilitacines įstaigas
,,,,,israsyto_paciento_bukle,string,,,,4,open,,Paciento būklė po išrašymo,
,,,,,,enum,,,"""sėkmingai baigė gydymą""",,,,,Pacientas baigė gydymo kursą arba būklė pagerėjo esant neryškiems abstinencijos reiškiniams
,,,,,,,,,"""nesėkmingai baigė gydymą""",,,,,Pacientas išrašytas be pakitimų (nutraukė gydymą) arba išrašytas už režimo pažeidimus.
