id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rppc/atvykstantys_pabegeliai,,,,,,,,,,,,Į Pabėgelių priėmimo centrą atvykstantys asmenys.,Į Pabėgelių priėmimo centrą atvykstančių asmenų išsami informacija.
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,"AtvykstantysPabegeliai
",,,vda_id,,,4,,,Į Pabėgelių priėmimo centrą atvykstantys asmenys.,
,,,,,vda_id,string,,,,4,open,,Unikalus įrašo identifikatorius,
,,,,,asmuo,string,,,,4,open,,"Pabėgelis, asmuo atvykęs į pabėgelių priėmimo centrą. Asmuo gali papartotinai atvykti(asmuo gali kartotis)",
,,,,,gimimo_metai,integer,,,,4,open,,Gimimo metai sistemoje,
,,,,,lytis,string,,,,4,open,,Pabėgelio lytis sistemoje,
,,,,,programos_tipas,string,,,,4,open,,PPC programos tipas (institucijos vidinis klasifikatorius),
,,,,,seimos_galva,string,,,,4,open,,"Požymis, ar tai ""šeimos galva"" - teikiantis prašymus integracijai",
,,,,,pilietybe,string,,,,4,open,,"Pabėgelio nurodyta pilietybė. Jei asmenų su pilietybe yra mažiau nei 2, tokiems priskiriama ""Kita""",
,,,,,issilavinimas,string,,,,4,open,,"Išsilavinimas, kurį nurodė asmuo",
,,,,,profesija,string,,,,4,open,,"Profesija, kurią nurodė asmuo",
,,,,,profesinis_laipsnis,string,,,,4,open,,"Profesinis laipsnis, kurį nurodė asmuo",
,,,,,ppc_atvykimo_data,date,D,,,4,open,,Atvykimo į PPC data,
,,,,,ppc_isvykimo_data,date,D,,,4,open,,"Išvykimo iš PPC data(išvyko į integraciją, mirė, išvyko į užsienį))",
