id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rrt/gelezinkeliai,,,,,,,,,,,,,
,,gelezinkeliai,,,,csv,,https://opendata.rrt.lt/static/Matavimai-gele%C5%BEinkeliai-2G-3G-4G.csv,"tabular.sep("","")",,,,,
,,,,Gelezinkelis,,,,,,4,,,,
,,,,,data_ir_laikas,datetime,S,data ir laikas,,4,open,,Data ir laikas,
,,,,,platuma,number,,platuma,,3,open,,"Koordinatė, ilguma",
,,,,,ilguma,number,,ilguma,,3,open,,"Koordinatė, platuma",
,,,,,koordinates_wgs,geometry(point),,,"point(platuma,ilguma)",,,,,
,,,,,operatorius,integer,,operatorius,,4,open,,Ryšio operatorius,
,,,,,cell_id,string,,celės id,,4,open,,Celės numeris,
,,,,,rysio_tinklas,string,,ryšio tinklas,,4,open,,Ryšio technologija,
,,,,,level,integer,,level,,3,open,,Radijo ryšio parametras,
,,,,,lterssi,integer,,lterssi,,3,open,,Radijo ryšio parametras,
,,,,,qual,integer,,qual,,3,open,,Radijo ryšio parametras,
,,,,,snr,integer,,snr,,3,open,,Radijo ryšio parametras,
,,,,,cqi,integer,,cqi,,3,open,,Radijo ryšio parametras,
,,,,,dl_sparta,integer,,DL sparta kbit/s,,4,open,,"Duomenų perdavimo sparta, gavimas",
,,,,,ul_sparta,integer,,UL sparta kbit/s,,4,open,,"Duomenų perdavimo sparta, siuntimas",
,,,,,pingavg,integer,,pingavg,,3,open,,"Delsa, vidutinė vertė",
,,,,,pingmin,integer,,pingmin,,3,open,,"Delsa, minimali vertė",
,,,,,pingmax,integer,,pingmax,,3,open,,"Delsa, maksimali vertė",
,,,,,pingstdev,integer,,pingstdev,,3,open,,"Delsa, standartinis nuokrypis",
,,,,,pingloss,integer,,pingloss,,3,open,,"Delsa, prarastų verčių dalis",
,,,,,test_type,string,,test type,,4,open,,Bandymo pavadinimas,
,,,,,,enum,,,"""DL TEST""",,,,Atsisiuntimo (download) testas,
,,,,,,,,,"""UP TEST""",,,,Išsiuntimo (upload) testas,
,,,,,,,,,"""PING TEST""",,,,Ping testas,
