id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rsc/laikinieji_leidimai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Leidimas,,,,,,2,,,Laikinieji leidimai vykdyti veiklą su jonizuojančiosios spinduliuotės šaltiniais,
,,,,,leid_nr,string,,,,4,open,,Laikinojo leidimo numeris,
,,,,,isduota,date,D,,,4,open,,Laikinojo leidimo išdavimo data,
,,,,,galioja_iki,date,D,,,4,open,,Laikinojo leidimo galiojimo pabaigos data,
,,,,,busena,string,,,,4,open,,Laikinojo leidimo būsenos pavadinimas,
,,,,,,enum,,,"""Neišduotas""",,,,Neišduotas,
,,,,,,,,,"""Išduotas""",,,,Išduotas,
,,,,,galiojimas,string,,,,4,open,,Laikinojo leidimo galiojimo statusas,
,,,,,,enum,,,"""galioja""",,,,Leidimas galioja,
,,,,,,,,,"""negalioja""",,,,Leidimas negalioja,
,,,,,paslauga,string,,,,3,open,,Laikinojo leidimo paslaugos pavadinimas,
,,,,,turetojo_kodas,string,,,,1,open,,Laikinojo leidimo turėtojo juridinis kodas,
,,,,,turetojas,string,,,,1,open,,Turėtojo pavadinimas,
,,,,,turetojo_uzs_adr,string,,,,1,open,,Adresas užsienio šalyse,
,,,,,turetojo_salis,string,,,,4,open,,Valstybės pavadinimas,
,,,,,turetojo_koord,"geometry(point, 4326)",,,,3,open,,Juridinio asmens koordinatės užsienio šalyse,
,,,,,gavejo_kodas,string,,,,2,open,,Laikinojo leidimo gavėjo juridinis kodas,
,,,,,,comment,base,,"update(base: ""/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")",4,open,"spinta:205",,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")",4,open,"manifest:1290",,
,,,,,gavejas,string,,,,1,open,,Gavėjo pavadinimas,
,,,,,gavejo_salis,string,,,,4,open,,Valstybės pavadinimas,
,,,,,gavejo_koord,"geometry(point, 3346)",,,,3,open,,Leidimą gaunančio juridinio asmens koordinatės,
