id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rtl/maitinimo_paraiskos,,,,,,,,,,,,Regioninės Telšių ligoninės maitinimo paraiškos,
,,,,,,,,,,,,,,
,,,,Maitinimas,,,vda_id,,,4,,,Regioninės Telšių ligoninės maitinimo paraiškos,
,,,,,vda_id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,diena,date,D,,,4,open,,Maitinimo data,
,,,,,porciju_kiekis,integer,,,,4,open,,Porcijų kiekis,
,,,,,valgymas,string,,,,4,open,,Valgymo pavadinimas,
,,,,,,enum,,,"""Pusryčiai""",,,,Pusryčiai,
,,,,,,,,,"""Priešpiečiai""",,,,Priešpiečiai,
,,,,,,,,,"""Pietūs""",,,,Pietūs,
,,,,,,,,,"""Pavakariai""",,,,Pavakariai,
,,,,,,,,,"""Vakarienė""",,,,Vakarienė,
,,,,,,,,,"""Naktipiečiai""",,,,Naktipiečiai,
,,,,,norma,number,,,,2,open,,Norma,Įsakymu nustatyta ligonių visos dienos maitinimo piniginė norma.
,,,,,valgantis_padalinys,string,,,,4,open,,Valgančio padalinio pavadinimas,
,,,,,patiekalas,string,,,,4,open,,Atsargos pavadinimas,
,,,,,patiekalo_grupe,string,,,,4,open,,Grupės pavadinimas,
,,,,,patiekalo_finansavimo_saltinis,string,,,,4,open,,Finansavimo šaltinio pavadinimas,
,,,,,patiekalo_savikaina,number,,,,4,open,,Atsargos savikaina,
,,,,,dietos_pavadinimas,string,,,,2,open,,Dietos pavadinimas,
,,,,,dietos_angliavandeniai,number,g,,,4,open,,Dienos patiekalų angliavandeniai,
,,,,,dietos_baltymai,number,g,,,4,open,,Dienos patiekalų baltymai,
,,,,,dietos_druska,number,g,,,4,open,,Dienos patiekalų druska,
,,,,,dietos_riebalai,number,g,,,4,open,,Dienos patiekalų riebalai,
,,,,,dietos_kcal,number,kcal,,,4,open,,Dienos patiekalų kalorijos,
