id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/sadm/ismokos_vaikams,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Mokejimas,,,id,,,4,open,,Duomenys apie išmokas vaikams,
,,,,,id,string,,,,4,open,,Įrašo identifikatorius,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybės pavadinimas,
,,,,,pasalpos_tipas,string,,,,3,open,,Išmokėtos pašalpos tipas,
,,,,,paskyrimo_pradzia,date,D,,,4,open,,Išmokų mokėjimo datos intervalo pradžia,
,,,,,paskyrimo_pabaiga,date,D,,,4,open,,Išmokų mokėjimo datos intervalo pabaiga,
,,,,,nuo,integer,,,,2,open,,Išmokų mokėjimo pradžios data,
,,,,,iki,integer,,,,2,open,,Išmokų mokėjimo pabaigos data,
,,,,,mokejimas,date,M,,,4,open,,Išmokos skaičiavimo mėnuo,
,,,,,priskaiciuota,number,,,,2,open,,Priskaičiuota išmokų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,ismoketa,number,,,,2,open,,Išmokėta išmokų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
