id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,/datasets/gov/sakiai/gaunami_dokumentai,,,,,,,,,,open,,Šakių rajono savivaldybės gaunami dokumentai,"Visi nuo 2018 m. tik Šakių rajono savivaldybės administracijos raštinės registruoti gauti dokumentai - asmenų skundai, prašymai paslaugoms gauti, raštai iš LR ministerijų/departamentų ir kita."
,,,,,,,,,,,,,,
,,,,Registras,,,rz_id,,,,,,,
,,,,,rz_id,integer,,,,4,,,,
,,,,,rz_skodas,string,,,,2,,,Registro numeris,
,,,,,rz_pav@lt,text,,,,2,,,Registro pavadinimas,
,,,,,rz_pav2@lt,text,,,,2,,,Registro pavadinimas trumpas,
,,,,,,,,,,,,,,
,,,,Subjektas,,,sbj_id,,,,,,,
,,,,,sbj_id,integer,,,,4,,,,
,,,,,sbj_pav@lt,text,,,,2,,,Subjekto pavadinimas,
,,,,,,,,,,,,,,
,,,,DokumentoFormosTipas,,,dfrm_id,,,,,,,
,,,,,dfrm_id,integer,,,,4,,,,
,,,,,dfrm_pav@lt,text,,,,2,,,Formos pavadinimas,
,,,,,,,,,,,,,,
,,,,DokumentoTipas,,,dtip_id,,,,,,,
,,,,,dtip_id,integer,,,,4,,,,
,,,,,dtip_pav@lt,string,,,,2,,,Dokumento rūšis,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,obj_id,,,,,,,
,,,,,obj_id,integer,,,,4,,,,
,,,,,obj_data,datetime,S,,,4,,,Registravimo data,
,,,,,obj_rz_id,ref,Registras,,,4,,,,
,,,,,obj_rastine_sbj_id,ref,Subjektas,,,4,,,Raštinė kuriai priklauso dokumentas,
,,,,,obj_elektroninis,boolean,,,,3,,,Yra elektroninis,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,GaunamasDokumentas,,,dok_id,,,,,,Dvs gaunami dokumentai,
,,,,,dok_id,ref,Dokumentas,,,4,,,,
,,,,,dok_ivykd_data,date,D,,,4,,,Ivykdymo data,
,,,,,dok_termino_data,date,D,,,4,,,Termino data,
,,,,,dok_gav_reg_nr,integer,,,,2,,,Registracijos numeris pradedant nuo metų pradžios,
,,,,,dok_dfrm_id,ref,DokumentoFormosTipas,,,4,,,Kokiu būdu gautas dokumentas,
,,,,,dok_dtip_id,ref,DokumentoTipas,,,4,,,,
,,,,,dok_gav_pad_id,ref,Subjektas,,,4,,,Dokumentą gavęs padalinys,
