id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/santara/skl,,,,,,,,,,,,Širdies ir kraujagyslių ligomis sergančių pacientų apsilankymų statistiniai duomenys,
,,csv,,,,,,https://data.gov.lt/dataset/1893/download/14051/SKL_duomenys.csv,"tabular(sep: "";"")",,,,,
,,,,SKLiga,,,,,,3,,,,
,,,,,amzius,string,,AMZIUS_KAT,,3,open,,Amžius,
,,,,,lytis,string,,LYTIS,,4,open,,Lytis,
,,,,,,enum,,,"""Vyras""",,,,Vyras,
,,,,,,,,,"""Moteris""",,,,Moteris,
,,,,,apskritis,string,,APSKRITIS,,3,open,,Apskritis,
,,,,,pateikimo_metai,integer,yr,PATEIKIMO_METAI,,2,open,,Pateikimo metai,
,,,,,ketvirtis,string,,KETVIRTIS,,2,open,,Ketvirtis,
,,,,,ugis,string,,UGIS_KAT,,3,open,,Ūgis,
,,,,,svoris,string,,SVORIS_KAT,,3,open,,Svoris,
,,,,,juosmuo,string,,JUOSMUO_KAT,,3,open,,Juosmuo,
,,,,,saks,integer,,SAKS,,4,open,,Sistolinis arterinis kraujo spaudimas,
,,,,,daks,integer,,DAKS,,4,open,,Diastolinis arterinis kraujo spaudimas,
,,,,,rukymas,integer,,RUKYMAS,,4,open,,Rūkymo statusas,
,,,,,,enum,,,1,,,,Rūko,
,,,,,,,,,2,,,,Nerūko,
,,,,,fizinis_aktyvumas,string,,FIZINIS_AKTYVUMAS,,4,open,,Fizinis aktyvumas,
,,,,,,enum,,,"""Aktyvus""",,,,Fiziškai aktyvus,
,,,,,,,,,"""Neaktyvus""",,,,Fiziškai neaktyvus,
,,,,,mityba,string,,NESUBALANSUOTA_MITYBA,,4,open,,Mityba,
,,,,,,enum,,,"""Subalansuota""",,,,Subalansuota mityba,
,,,,,,,,,"""Nesubalansuota""",,,,Nesubalansuota mityba,
