id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/santara/tub_pacientu_zalingi_iprociai,,,,,,,,,,,,"""Pacientų, kuriems diagnozuota tuberkuliozė, žalingi įpročiai.""","""Lentelėje pateikti Tuberkuliozės valstybės informacinės sistemos (TVIS) duomenys apie tuberkuliozės liga diagnozuotus pacientus, jų žalingus įpročius, diagnozes ir mirtis. Duomenų valdytojas - Nacionalinio visuomenės sveikatos centro prie Sveikatos apsaugos ministerijos (NVSC). Duomenų tvarkytojas - Vilniaus universiteto ligoninė Santaros klinikos (VULSK). Viena duomenų rinkinio eilutė atspindi vieną pacientą kuriam buvo diagnozuota tuberkuliozės liga. Duomenys apima visos Lietuvos tuberkuliozės liga sirgusius bei sergančius asmenis ir informacinėje sistemoje yra kaupiami nuo 2013 m. Atkreipiame dėmesį, kad paciento identifikacinis kodas nebūtinai reiškia unikalų paciento įrašą - vienas pacientas gali turėti kelis identifikacinius kodus, dėl gyvenamosios vietos pasikeitimo, dėl šios priežasties unikalius pacientų įrašus rekomenduojama nustatyti pagal paciento vardo, pavardės, gimimo datos, asmens kodo ir asmens kodo validacijos stulpelius. Taip pat pažymime kad paciento diagnozė gali kisti, paciento gydymo metu ar atliekant papildomus tyrimus. Be to, Pasaulio sveikatos organizacijos (PSO) tuberkuliozės duomenų kaupimo rekomendacijos keitėsi 1996, 1998, 2000, 2014 metais ir galėjo paveikti duomenų surinkimo metodikas bei surinktų duomenų kokybę.Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. Dėl duomenų naudojimo moksliniams darbams, rekomenduojame pasitarti su Santaros klinikų gydytoja, mokslininke Edita Davidavičiene - edita.davidaviciene@santa.lt."""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,TubPacientoZalingasIprotis,,,paciento_id,,,4,,,"""Pacientų, kuriems diagnozuota tuberkuliozė, žalingi įpročiai.""",
,,,,,paciento_id,string,,,,4,open,,Unikalus kodas identifikuojantis pacientą,
,,,,,paciento_vardas,string,,,,4,open,,Paciento vardas,Paciento pseudoniminta vardo reikšmė
,,,,,paciento_pavarde,string,,,,4,open,,Paciento pavardė,Paciento pseudoniminta pavardės reikšmė
,,,,,paciento_gim_data,string,,,,4,open,,Paciento gimimo data,Paciento pseudoniminta gimimo datos reikšmė
,,,,,paciento_asmens_kodas,string,,,,4,open,,Paciento asmens kodas,Paciento pseudoniminta asmens kodo reikšmė
,,,,,vda_ak_validacija,string,,,,4,open,,Paciento asmens kodo trūkumai,
,,,,,,enum,,,"""Tinkamas""",,,,,
,,,,,,,,,"""Netinkamas ilgis""",,,,,
,,,,,,,,,"""Netinkamas kontrolinis skaitmuo""",,,,,
,,,,,,,,,"""Netinkama gimimo data""",,,,,
,,,,,vda_paciento_gim_metai_ak,date,Y,,,4,open,,Asmens kode nurodyti paciento gimimo metai,
,,,,,paciento_gim_metai,date,Y,,,4,open,,Šaltinyje nurodyti Paciento gimimo metai,
,,,,,vda_paciento_lytis_ak,string,,,,4,open,,,
,,,,,,enum,,,"""Vyras""",,,,,
,,,,,,,,,"""Moteris""",,,,,
,,,,,paciento_lytis,string,,,,4,open,,Asmens kode nurodyta paciento lytis,
,,,,,,enum,,,"""V""",,,,,
,,,,,,,,,"""M""",,,,,
