id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/sppd,,,,,ns,,,,,,,Socialinių paslaugų priežiūros departamentas prie SADM,
,datasets/gov/sppd/licencijos,,,,,,,,,,,,"""Išduotų, sustabdytų, panaikintų licencijų sąrašas""","""Įstaigų teikiančių socialinės globos paslaugas licencijuojamos veiklos vykdymo duomenys. Licencijos išduotos nuo 2013 metų iki dabar. Rinkinyje pateikiama įstaigos kodas, pavadinimas, savivaldybė, adresas su koordinatėmis, tipas, licencijos numeris,tipas, statusas, registracijos, sustabdymo,panaikinimo, tikslinimo datos."""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Licencija,,,id,,,4,,,"""Išduotų, sustabdytų, panaikintų licencijų sąrašas""","""Įstaigų teikiančių socialinės globos paslaugas licencijuojamos veiklos vykdymo duomenys. Licencijos išduotos nuo 2013 metų iki dabar. Rinkinyje pateikiama įstaigos kodas, pavadinimas, savivaldybė, adresas su koordinatėmis, tipas, licencijos numeris,tipas, statusas, registracijos, sustabdymo,panaikinimo, tikslinimo datos."""
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,licencijos_numeris,string,,,,4,open,,Licencijos numeris,
,,,,,istaigos_pavadinimas,string,,,,4,open,,Įstaigos pavadinimas,
,,,,,istaigos_jar,string,,,,4,open,,Įstaigos JAR kodas,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybė,
,,,,,istaigos_adresas,string,,,,4,open,,Įstaigos adresas,
,,,,,x_koord_lks,integer,,,,4,open,,X koordinatė LKS sistemoje,
,,,,,y_koord_lks,integer,,,,4,open,,Y koordinatė LKS sistemoje,
,,,,,veiklos_rusis,string,,,,4,open,,Veiklos rūšis,
,,,,,licencijos_busena,string,,,,4,open,,"""Licencijos būsena: active - aktyvi, removed - panaikinta, restricted - apribota, stopped - sustabdyta, stopped_continued - sustabdyta su pratęsimu, remove - naikinama, warned - įspėtas, warned_continued -įspėtas su pratęsimu""",
,,,,,licencijos_tipas,string,,,,4,open,,Licencijos tipas,
,,,,,licencijos_isdavimo_data,date,D,,,4,open,,Licencijos išdavimo data,
,,,,,licencijos_tikslinimo_data,date,D,,,4,open,,Licencijos tikslinimo data,
,,,,,licencijos_sustabdymo_data,date,D,,,4,open,,Licencijos sustabdymo data,
,,,,,licencijos_sustabdyta_iki,date,D,,,4,open,,Licencija sustabdyta iki,
,,,,,licencijos_panaikinimo_data,date,D,,,4,open,,Licencijos panaikinimo data,
,,,,,geometrija,geometry(3346),,,,4,open,,Apjungtos koordinatės,
