id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ssva/nesuformuota_zeme,,,,,,,,,,,,Nesuformuoti žemės plotai,"Duomenis apie sklypais nesuformuotus žemės plotus bei su jais susijusius prašymus, pateiktus žemės informacinėje sistemoje."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,NesuformuotasPlotas,,,vda_prime_key,,,4,,,"Nesuformuoti žemės plotai","Duomenų rinkinys apima informaciją apie valstybės valdomus, bet dar nesuformuotus žemės plotus. Kiekvienam sklypui pateikiamas unikalus identifikatorius, jį administruojanti institucija (dažniausiai Nacionalinė žemės tarnyba), buvimo vietos koordinatės (taškinė ir poligoninė geometrija), nesuformuotos žemės perimetras bei plotas. Duomenys taip pat apima savivaldybės ir gyvenvietės kodus, o geografinė informacija pateikta keliuose koordinacinių sistemų formatuose (LKS94, WGS84, GeoJSON, WKT).",
,,,,,vda_prime_key,string,,,,4,open,,Unikalus nesuformuotos žemės identifikatorius,
,,,,,patiketinis,string,,,,4,open,,"Patikėtinio tipas: N - NŽT, S - savivaldybė",
,,,,,pavadinimas,string,,,,4,open,,Patikėtinio pavadinimas,
,,,,,jar_kodas,string,,,,4,open,,Patiketinio JAR kodas,
,,,,,gyv_kodas,string,,,,4,open,,Gyvenvietės kodas,
,,,,,sav_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,perimetras_m,number,,,,4,open,,Nesuformuoto ploto perimetras metrais,
,,,,,plotas_m2,number,,,,4,open,,Nesuformuotas plotas kvadratiniais metrais,
,,,,,geometrija_adp,"geometry(point, 3346)",,,,4,open,,Nesuformuoto ploto taškinė geometrija WKT (Well-Known Text) formatu,
,,,,,geom_wkt,string,,,,4,open,,Nesuformuoto ploto geometrija WKT (Well-Known Text) formatu (LKS94),
,,,,,geojson_wgs,string,,,,4,open,,Nesuformuoto ploto geometrija GeoJSON formatu (koordinatės WGS84 sistemoje),
,,,,,geojson_lks,string,,,,4,open,,Nesuformuoto ploto geometrija GeoJSON formatu (koordinatės LKS94 sistemoje),
,,,,,paskutinio_atnaujinimo_data,datetime,D,,,4,open,,Duomenų atnaujinimo data,
,,,,,,,,,,,,,,
,,,Prasymas,,,vda_prime_key,,,4,,,"Nekilnojamojo turto (nesuformuotų plotų) prašymų duomenys","Duomenų rinkinys apima informaciją apie fizinių ar juridinių asmenų prašymus, susijusius su nesuformuotais žemės plotais. Kiekvienas įrašas žymi konkretų prašymą su unikaliu identifikatoriumi, paslaugos tipu, nagrinėjimo etapu ir būsena. Taip pat pateikiama ploto geometrija – perimetras, plotas bei įvairūs erdviniai formatai (WKT, GeoJSON LKS/WGS).",
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,sutarties_id,string,,,,4,open,,Sutarties identifikatorius,
,,,,,nt_registro_kodas,string,,,,4,open,,"Nekilnojamo turto kadastro objektas, su kuriuo susijęs prašymas",
,,,,,paslauga,string,,,,4,open,,Paslaugos kodas,
,,,,,etapas,string,,,,4,open,,Pršymo nagrinėjimo etapas,
,,,,,busena,string,,,,4,open,,Prašymo nagrinėjimo etapo būsena,
,,,,,perimetras_m,number,,,,4,open,,Nesuformuoto ploto perimetras metrais,
,,,,,plotas_m2,number,,,,4,open,,Nesuformuotas plotas kvadratiniais metrais,
,,,,,geometrija_adp,"geometry(point, 3346)",,,,4,open,,Nesuformuoto ploto taškinė geometrija WKT (Well-Known Text) formatu,
,,,,,geom_wkt,string,,,,4,open,,Nesuformuoto ploto geometrija WKT (Well-Known Text) formatu (LKS94),
,,,,,geojson_wgs,string,,,,4,open,,Nesuformuoto ploto geometrija GeoJSON formatu (koordinatės WGS84 sistemoje),
,,,,,geojson_lks,string,,,,4,open,,Nesuformuoto ploto geometrija GeoJSON formatu (koordinatės LKS94 sistemoje),
,,,,,paskutinio_atnaujinimo_data,datetime,D,,,4,open,,Duomenų atnaujinimo data,
