id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ssva/pastatu_duomenu_bankas,,,,,,,,,,,,Pastatų ir jo elementų nusidėvėjimas ir rizikos,"Informacija apie pastatų charakteristikas,  pastatų ir jų elementų būklę."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Pastato_elemento_rizika,,,"rizikos_vertinimo_id,",,,4,,,,
,,,,,rizikos_vertinimo_id,string,,,,4,open,,Rizikos vertinimo įrašo unikalus identifikatorius,
,,,,,objekto_id,string,,,,4,open,,Pastato identifikatorius,
,,,,,statybos_metai,integer,,,,4,open,,Pastato statybos metai,
,,,,,elemento_pavadinimas,string,,,,4,open,,Pastato elemento pavadinimas,
,,,,,rizikos_balas,string,,,,4,open,,Pastato elemento rizikos vertinimo balas,
,,,,,ivertinimo_balas,string,,,,4,open,,Apžiūros ar vertinimo metu suteiktas balas,
,,,,,didziausias_galimas_balas,string,,,,4,open,,Didžiausias galimas vertinimo balas,
,,,,,ar_kritinis,string,,,,4,open,,"Požymis, ar rizikos vertinimas yra kritinis",
,,,,,kategorijos_pavadinimas,string,,,,4,open,,Vertinimo kategorijos pavadinimas,
,,,,,dokumento_numeris,string,,,,4,open,,Dokumento numeris,
,,,,,apziuros_tipas,string,,,,4,open,,Pastato elemento apžiūros tipas,
,,,,,adresas,string,,,,4,open,,Pastato adresas,
,,,,,geometrija_adp,"geometry(point, 3346)",,,,4,open,,Pastato vietos koordinatės LKS-94 (EPSG:3346) sistemoje,
,,,,,sukurimo_data,timestamp,L,,,4,open,,Įrašo sukūrimo data,
,,,,,,,,,,,,,,
,,,,Pastato_elemento_nusidevejimas,,,elemento_id,,,4,,,,
,,,,,elemento_id,string,,,,4,open,,Pastato elemento identifikatorius,
,,,,,objekto_id,string,,,,4,open,,Pastato identifikatorius,
,,,,,statybos_metai,integer,,,,4,open,,Pastato statybos metai,
,,,,,elemento_pavadinimas,string,,,,4,open,,Pastato elemento pavadinimas,
,,,,,tarnavimo_trukme_metais,string,,,,4,open,,Elemento tarnavimo trukmė metais,
,,,,,nusidevejimo_vertinimas,number,,,,4,open,,Elemento nusidėvėjimo vertinimas,
,,,,,objekto_adresas,string,,,,4,open,,Pastato adresas,
,,,,,geometrija_adp,"geometry(point, 3346)",,,,4,open,,Pastato vietos koordinatės LKS-94 (EPSG:3346) sistemoje,
,,,,,iraso_sukurimo_data,timestamp,L,,,4,open,,Įrašo sukūrimo data,
,,,,,,,,,,,,,,
,,,,Pastato_rizika_nusidevejimas,,,objekto_id,,,,,,,
,,,,,objekto_id,string,,,,4,open,,Pastato identifikatorius,
,,,,,nusidevejimo_balas,number,,,,4,open,,Pastato nusidėvvėjimo balas,
,,,,,rizikos_balas,number,,,,4,open,,Pastato rizikos balas,
,,,,,statybos_metai,integer,,,,4,open,,Pastato statybos metai,
,,,,,adresas,string,,,,4,open,,Pastato adresas,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybė,
,,,,,geometrija_adp,"geometry(point, 3346)",,,,4,open,,Pastato vietos koordinatės LKS-94 (EPSG:3346) sistemoje,
,,,,,iraso_sukurimo_data,timestamp,L,,,4,open,,Įrašo sukūrimo data,
