id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ssva/tpv_atestatai,,,,,,,,,,,,Duomenys apie teritorijų planavimo vadovų atestatus (fiziniai asmenys),
,,,,,,,,,,,,,,
,,,,Atestatas,,,nr,,,4,,,Teritorijų planavimo vadovų atestatai,
,,,,,id,string,,,,4,open,,Identifikatorius,
,,,,,nr,integer,,,,4,open,,Atestato numeris,
,,,,,atnaujinimas,date,D,,,4,open,,Atestato atnaujinimo data,
,,,,,galiojimas,date,D,,,4,open,,Atestato galiojimo pabaiga,
,,,,,isdavimas,date,D,,,4,open,,Pirmojo atestato išdavimo data,
,,,,,gavejas,string,,,,4,public,,Teritorijų planavimo vadovas,
,,,,,planavimo_dok,string,,,,3,open,,Kompleksinio teritorijų planavimo dokumentų rūšys,
,,,,,spec_planavimo_dok,string,,,,3,open,,Specialiojo teritorijų planavimo dokumentų rūšys,
,,,,,vertinimas,date,D,,,4,open,,Kvalifikacijos įvertinimo data,
,,,,,,,,,,,,,,
,,,,Priemone,,,nr,,,4,open,,,
,,,,,id,string,,,,4,open,,Identifikatorius,
,,,,,nr,ref,Atestatas,,,4,open,,Atestato numeris,
,,,,,tipas,string,,,,4,open,,Poveikio priemonės tipas,
,,,,,,enum,,,"""Panaikintas""",,,,,
,,,,,,,,,"""Sustabdytas""",,,,,
,,,,,isdavimas,date,D,,,4,open,,Poveikio priemonės taikymo pradžia,
,,,,,galiojimas,date,D,,,4,open,,Poveikio priemonės taikymo pabaiga,
,,,,,aprasymas,string,,,,4,open,,Poveikio priemonės aprašymas,
