id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ssva/vadovu_atestatai,,,,,,,,,,,,Duomenys apie statinio statybos techninės veiklos pagrindinių sričių vadovų kvalifikacijos atestatus ir teisės pripažinimo dokumentus (fiziniai asmenys),
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Atestatas,,,id,,,4,,,Statinio statybos techninės veiklos pagrindinių sričių vadovų kvalifikacijos atestatų ir teisės pripažinimo dokumentų registras,
,,,,,id,string,,,,4,open,,Įrašo ID,
,,,,,nr,integer,,,,4,open,,Teisės dokumento numeris,
,,,,,isdavimas,date,D,,,4,open,,Teisės dokumento išdavimo data,
,,,,,galiojimas,date,D,,,4,open,,Teisės dokumento galiojimo pabaiga,
,,,,,registruota,date,D,,,4,open,,Pirmoji teisės dokumento išdavimo data,
,,,,,gavejas,string,,,,4,public,,Vardas Pavardė,Atestato savininkas
,,,,,pareigos,string,,,,3,open,,Suteikta arba pripažinta teisė - pareigos,
,,,,,statusas,string,,,,3,open,,"Suteikta arba pripažinta teisė - statinių grupės, darbo sritys ir kt.",
,,,,,tipas,string,,,,4,open,,Teisės dokumento tipas,
,,,,,,enum,,,"""KA""",,,,Kvalifikacijos atestatas,
,,,,,,,,,"""TPD""",,,,Teisės pripažinimo dokumentas,
,,,,,pavadinimas,string,,,,3,open,,Pripažinas teisės dokumentas,
,,,,,vertinimas,date,D,,,4,open,,Kvalifikacijos įvertinimo data,
,,,,,,,,,,,,,,
,,,,Priemone,,,nr,,,4,,,Poveikio priemonės,
,,,,,id,string,,,,4,open,,Poveikio priemonės ID,
,,,,,nr,ref,Atestatas,,,4,open,,Teisės dokumento numeris,
,,,,,spr_nr,integer,,,,4,open,,Sprendimo dėl poveikio taikymo numeris,
,,,,,data,date,D,,,4,open,,Sprendimo dėl poveikio taikymo data,
,,,,,tipas,integer,,,,4,open,,Poveikio priemonės tipas,
,,,,,,enum,,,1,,,,Panaikintas,
,,,,,,,,,2,,,,Sustabdytas,
,,,,,,,,,3,,,,Stabdyti,
,,,,,,,,,4,,,,Įspėjimas,
,,,,,,,,,5,,,,Pastaba,
,,,,,,,,,6,,,,Įspėti,
,,,,,,,,,7,,,,Atšauktas panaikinimas,
,,,,,,,,,8,,,,Atšaukimas,
,,,,,isdavimas,date,D,,,4,open,,Poveikio priemonės taikymo pradžia,
,,,,,galiojimas,date,D,,,4,open,,Poveikio priemonės taikymo pabaiga,
,,,,,aprasas,string,,,,4,open,,Poveikio priemonės aprašymas,
