id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/sumin/vintra,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Agency,,,,,,,,,Viešojo keleivinio transporto paslaugų teikėjas,
,,,,,agency_id,string,,,,4,open,,Identifikatorius,
,,,,,name,string,,,,2,open,,Pavadinimas,
,,,,,,,,,,,,,,
,,,,Vehicle,,,,,,,,,Transporto priemonė,
,,,,,agency,ref,Agency,,,4,open,,Paslaugų teikėjas,
,,,,,vehicle_id,string,,,,4,open,,Identifikatorius,
,,,,,plate_number,string,,,,4,open,,Registracijos numeris,
,,,,,,,,,,,,,,
,,,,Trip,,,,,,,,,Reisas,
,,,,,agency,ref,Agency,,,4,open,,Paslaugų teikėjas,
,,,,,trip_id,string,,,,4,open,,Identifikatorius,
,,,,,start_time,time,,,,3,open,,Pradžios laikas,
,,,,,route,string,,,,4,open,,Maršruto numeris,
,,,,,,,,,,,,,,
,,,,Position,,,,,,,,,Transporto priemonės pozicija,
,,,,,vehicle,ref,Vehicle,,,4,open,,Transporto priemonė,
,,,,,trip,ref,Trip,,,4,open,,Reisas,
,,,,,position,"geometry(point, 4326)",,,,3,open,,Taškas žemėlapyje,
,,,,,bearing,number,°,,,4,open,,Azimutas,
,,,,,speed,number,m/s,,,4,open,,Judėjimo greitis,
,,,,,delay,integer,s,,,4,open,,Transporto priemonės vėlavimas,
,,,,,timestamp,datetime,S,,,4,open,,Pozicijos gavimo data ir laikas,
