id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/taurages_r_sav/prasymai_priimti_mokytis,,,,,,,,,,,,Prašymų priimti vaikus į ugdymo įstaigas Tauragėje duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,PrasymasMokytis,,,prasymo_id,,,4,,,Prašymų priimti vaikus į ugdymo įstaigas Tauragėje duomenys,Lentelėje pateikti prašymų priimti vaikus į ugdymo įstaigas duomenys nuo 2022 metų iš Tauragės savivaldybės centralizuoto vaikų priėmimo sistemos (CVPS). Informacija lentelėje atnaujinama kas mėnesį. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt.
,,,,,prasymo_id,string,,,,4,open,,Prašymo priimti vaiką į ugdymo įstaigą identifikatorius,
,,,,,prasymo_pateikimo_data,date,D,,,4,open,,Prašymo priimti vaiką į ugdymo įstaigą pateikimo data,
,,,,,mokslo_metai,string,,,,4,open,,Kuriems mokslo metams prašoma priimti vaiką į ugdymo įstaigą,
,,,,,grupes_id,string,,,,4,open,,Ugdymo grupės identifikatorius,
,,,,,amzius_nuo,number,,,,4,open,,Vaiko amžius (nuo kada priimama į ugdymo grupę),
,,,,,amzius_iki,number,,,,4,open,,Vaiko amžius (iki kada priimama į ugdymo grupę),
,,,,,grupes_tipas,string,,,,4,open,,Ugdymo grupės tipas,
,,,,,inst_pavadinimas,string,,,,4,open,,Prašyme nurodytos institucijos pavadinimas,
,,,,,inst_adresas,string,,,,4,open,,Prašyme nurodytos institucijos adresas,
,,,,,pirminis_priemimas_iki,string,,,,4,open,,Iki kada vykdomas pirminis priėmimas,
,,,,,papildomas_priemimas_iki,string,,,,4,open,,Iki kada vykdomas pakartotinis priėmimas,
,,,,,prasymo_busena,string,,,,4,open,,Prašymo būsena,
,,,,,,enum,,,"""contract_signed""",,,,Pasirašyta sutartis,
,,,,,,,,,"""submitted""",,,,Prašymas pateiktas,
,,,,,,,,,"""canceled""",,,,Prašymas atšauktas,
,,,,,,,,,"""registered""",,,,Prašymas užregistruotas,
,,,,,,,,,"""contract_canceled""",,,,Sutartis nutraukta,
,,,,,,,,,"""approved""",,,,Prašymas priimtas,
,,,,,prasymo_busenos_data,date,D,,,4,open,,Prašymo būsenos data,
