id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/telsiu_r_sav,,,,,ns,,,,,,,,
,datasets/gov/telsiu_r_sav/priemimas,,,,,,,,,,,,Priėmimai į bendrojo ugdymo įstaigas Telšių r. savivaldybėje,"""Duomenų rinkinyje pateikiami moksleivių priėmimo į bendrojo ugdymo įstaigų klases Telšių savivaldybėje duomenys."""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Priemimas,,,id,,,4,,,Priėmimai į bendrojo ugdymo įstaigas Telšių r. savivaldybėje,
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,prasymo_data,date,D,,,4,open,,Prašymo data,
,,,,,mokslo_metu_pradzia,date,D,,,4,open,,Mokslų metų pradžia,
,,,,,vaiko_ak,string,,,,4,open,,Asmens kodas,
,,,,,asm_kodas_tinkamas,string,,,,4,open,,Ar asmens kodas tinkamas,
,,,,,lytis_ak,string,,,,4,open,,Lytis iš asmens kodo,
,,,,,,enum,,,"""Moteris""",,,,Moteris,
,,,,,,,,,"""Vyras""",,,,Vyras,
,,,,,gimimo_metai_ak,date,Y,,,4,open,,Gimimo metai iš asmens kodo,
,,,,,institucijos_kodas,string,,,,4,open,,Institucijos kodas,
,,,,,institucijos_pavadinimas,string,,,,4,open,,Institucijos pavadinimas,
,,,,,grupe,string,,,,4,open,,Grupės pavadinimas,
