id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/fitosanitarijos_kontrole,,,,,,,,,,,,"Pateikiama informacija apie iš viso atliktų patikrinimų skaičių pagal kontroliuojamas sritis, nurodomas neatitikusių reikalavimus siuntų skaičius, dažniausiai pasitaikantys neatitikimai (patikrintų siuntų ir iš jų neatitikusių skaičius per tam tikrą laikotarpį, kokio pobūdžio siuntų neatitikimai pasitaikė dažniausiai minimu laikotarpiu)",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Tikrinimas,,,id,,,4,open,,Pasienio kontrolės punktų fitosanitarijos postų (skyrių) tikrinimų duomenys ,
,,,,,id,string,,,,4,open,,,
,,,,,pradzia,date,D,,,4,open,,Tikrinimo pradžios data,
,,,,,pabaiga,date,D,,,4,open,,Tikrinimo pabaigos data,
,,,,,metodine_sritis,string,,,,4,open,,Tikrinimo metodinė sritis,
,,,,,,enum,,,"""Fitosanitarija""",,,,,
,,,,,,,,,"""Agrochemija""",,,,,
,,,,,,,,,"""Dauginamoji medžiaga""",,,,,
,,,,,tikrinimo_sritis,string,,,,4,open,,Tikrinimo rūšis,
,,,,,,enum,,,"""Fitosanitarinis tikrinimas""",,,,,
,,,,,,,,,"""Šviežių vaisių ir daržovių atitikties prekybos standartams tikrinimas""",,,,,
,,,,,,,,,"""Tręšiamųjų produktų priežiūra""",,,,,
,,,,,,,,,"""Augalų apsaugos produktų priežiūra""",,,,,
,,,,,,,,,"""GMO stebėsena""",,,,,
,,,,,,,,,"""Dauginamosios medžiagos tikrinimas pasienyje""",,,,,
,,,,,,,,,"""GMO kontrolė""",,,,,
,,,,,paimtas_meginys,boolean,,,,4,open,,"Nuoroda, ar tikrinimo metu buvo paimtas mėginys",
,,,,,punkto_fitosanitarijos_postas,string,,,,4,open,,Pasienio kontrolės fitosanitarijo postas,
,,,,,,enum,,,"""Klaipėdos jūrų uosto pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Medininkų pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Šalčininkų pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Raigardo kelio pasienio kontrolės punkto fitosanitarijos postas""",,,,,
