id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/fitosanitarijos_postai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Punktas,,,id,,,4,open,,Pasienio kontrolės punktų fitosanitarijos postų (skyrių) duomenys ,
,,,,,id,string,,,,4,open,,Identifikacinis numeris,
,,,,,padalinys,string,,,,4,open,,Padalinio pavadinimas,
,,,,,,enum,,,"""Klaipėdos jūrų uosto pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Medininkų pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Šalčininkų pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Kybartų pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,,,,,"""Kauno oro uosto pasienio kontrolės punkto fitosanitarijos postas (skyrius)""",,,,,
,,,,,adresas,string,,,,2,open,,Padalinio adresas,
,,,,,koord,"geometry(point, 3346)",m,,,4,open,,Padalinio vietos koordinatės (LKS - 3346),
