id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/gmo_stebesena,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Ataskaita,,,id,,,4,open,,"Pateikiama informacija apie ūkio subjekto vardą, pavardę, augalo rūšį, veislę, mainams skirtos sėklos kiekį, g",
,,,,,id,string,,,,4,open,,Įrašo identifikatorius,
,,,,,tipas,string,,,,4,open,,Mėginio tyrimo rezultatas,
,,,,,,enum,,,"""PASELIS""",,,,Pasėlis,
,,,,,,,,,"""SIUNTA""",,,,Siunta,
,,,,,savivaldybe,string,,,,2,open,,"Savivaldybė, kurioje paimtas mėginys",
,,,,,rusis,string,,,,3,open,,Pasėlių kultūra,
,,,,,kilmes_salis,string,,,,3,open,,Kilmės šalis,
,,,,,padalinys,string,,,,4,open,,Mėginį paėmęs teritorinis padalinys,
,,,,,registracija,date,D,,,4,open,,Mėginio paėmimo data,
