id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/grudu_sandeliai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Sandelis,,,licencijos_nr,,,4,open,,"Pateikiama informacija (adresas, pavadinimas, licencijos išdavimo data, leistinos sandėliuoti grūdų rūšys bei kiekiai) apie ūkio subjektų licencijuotus grūdų sandėlius",
,,,,,licencijos_nr,string,,,,2,open,,Eilės numeris,
,,,,,isdavimas,date,D,,,4,open,,Licencijos išdavimo data,
,,,,,grudu_rusis_ir_kiekis,string,,,,1,open,,Grūdų rūšis ir kiekis,
,,,,,ukio_subjekto_pav,string,,,,2,open,,Ūkio subjekto pavadinimas,
,,,,,,comment,type,,"update(base: ""/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"", type: ""ref"", ref: ""/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")	",4,open,"spinta:205, manifest:1290",,
,,,,,adresas,string,,,,1,open,,Ūkio subjekto adresas,
,,,,,,comment,type,,"update(base: ""/datasets/gov/rc/ar/adresotaskas/AdresoTaskas"", type: ""ref"", ref: ""/datasets/gov/rc/ar/adresotaskas/AdresoTaskas"")	",4,open,"spinta:205, manifest:1290",,
,,,,,koord,"geometry(point, 3346)",m,,,4,open,,Grūdų sandėlio koordinatės (LKS),
