id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/sodo_dauginamoji,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Tikrinimas,,,id,,,4,open,,Sodo augalų dauginamosios medžiagos tikrinimai,
,,,,,id,string,,,,4,open,,Identifikacinis numeris,
,,,,,gentis,string,,,,,open,,Gentis,
,,,,,metai,integer,,,,2,open,,Metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,aprobuota_augalu,integer,,,,4,open,,"Aprobuota augalų iš viso, vnt.",
,,,,,isbrokuota,integer,,,,4,open,,Išbrokuota vnt.,
,,,,,elitine_medziaga,integer,,,,4,open,,Pripažintos kategorijos elitinė medžiaga,
,,,,,sertifikuota_medziaga,integer,,,,4,open,,Pripažintos kategorijos sertifikuota medžiaga,
,,,,,super_elitine_medziaga,integer,,,,4,open,,Pripažintos kategorijos super elitinė medžiaga,
,,,,,skiepugliu_ugliu_poskiepiu_daigai,integer,,,,4,open,,"Skiepūglių,ūglių, poskiepių, daigų iš viso, vnt.",
