id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/dm_kokybe,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Medziaga,,,id,,,4,open,,Pateikiama informacija apie sertifikuotos sodo augalų dauginamosios medžiagos augalo rūšį,
,,,,,id,string,,,,4,open,,Identifikacinis numeris,
,,,,,veisle,string,,,,3,open,,Veislė,
,,,,,skiepuglis_uglis_daigas,number,U,,,4,open,,"Iš viso skiepūglių, ūglių ir daigų",
,,,,,skiepuglis_supelitine,number,U,,,4,open,,"Skiepūglių, ūglių ir daigų superelitinės medžiagos kiekis",
,,,,,skiepuglis_elitine,number,U,,,4,open,,"Skiepūglių, ūglių ir daigų elitinės medžiagos kiekis",
,,,,,skiepuglis_sertifikuota,number,U,,,4,open,,"Skiepūglių, ūglių ir daigų sertifikuotos medžiagos kiekis",
,,,,,sodinukas,number,U,,,4,open,,Iš viso sodinukų,
,,,,,sodinukas_elitine,number,U,,,4,open,,Sodinukų elitinės medžiagos kiekis,
,,,,,sodinukas_sertifikuota,number,U,,,4,open,,Sodinukų sertifikuotos medžiagos kiekis,
,,,,,nuo,date,D,,,4,open,,Galiojimo pradžia,
,,,,,iki,date,D,,,4,open,,Galiojimo pabaiga,
