id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/aprobuotos_bulves,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Paselis,,,id,,,4,open,,"Pateikiama informacija apie sėkinių bulvių aprobuotus pasėlius (veislę, aprobuotą plotą, ha, pripažintą kategoriją, išbrokuotą plotą, ha, iš viso aprobuotą plotą (su išbrokuotais), ha)",
,,,,,id,string,,,,4,open,,Aprobavimo eilės numeris,
,,,,,veisle,string,,,,2,open,,Augalo veislė ,
,,,,,,comment,type,,"update(base: ""/datasets/gov/vat/saugomos_veisles/Veisles"", type: ""ref"", ref: ""/datasets/gov/vat/saugomos_veisles/Veisles"")",4,open,"spinta:205, manifest:1290",,
,,,,,kategorija,string,,,,3,open,,Kategorijos kodas,
,,,,,aprobuotas_plotas,number,ha,,,4,open,,"Aprobuotas plotas, ha",
,,,,,isbrokuotas_plotas,number,ha,,,4,open,,"Išbrokuotas plotas, ha",
