id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vat/fitosanitarinis_registras,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Subjektas,,,id,,,4,open,,"Pateikiama informacija apie ūkio subjektus, įregistruotus Fitosanitariniame registe (ūkio subjekto atpažinties kodas; pavadinimas; veiklos vykdymo adresas; veiklos ir produkcijos rūšis)",
,,,,,id,string,,,,4,open,,Įrašo identifikatorius,
,,,,,subjektas,string,,,,2,open,,Subjekto pavadinimas,
,,,,,juridinis,boolean,,,,4,open,,Ūkio subjekto tipas,
,,,,,tel_nr,string,,,,1,open,,Telefono numeris,
,,,,,adresas,string,,,,2,open,,Ūkio subjekto adresas,
,,,,,fitosanitarinis_nr,string,,,,1,open,,Fitosanitarinio registro Nr. ,
,,,,,specializacija,string,,,,2,open,,Subjekto specializacija,
,,,,,,comment,property,,"""update(property: """"specializacija[]"""", type: """"array"""", source: """"Specializacija"""")""",4,,spinta:161,,
,,,,,koord,"geometry(point, 3346)",m,,,4,open,,Ūkio subjekto koordinatės (LKS),
