id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vdtat/saugiuju_dokumentu_registras,,,,,,,,,,,,Saugiųjų dokumentų ir saugiųjų dokumentų  blankų registro duomenys,"Valstybės saugiųjų dokumentų ir saugiųjų dokumentų  blankų, tokių kaip tokių kaip pasai, asmens tapatybės kortelės, kelionės dokumentai, vairuotojo pažymėjimai, akcizais apmokestinamų prekių banderolės, aukštojo mokslo diplomai ir kt., registro duomenys"
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,dokumento_ar_blanko_id,,,4,,,Saugiųjų dokumentų ir saugiųjų dokumentų  blankų aprašomieji duomenys,"Valstybės saugiųjų dokumentų ir saugiųjų dokumentų  blankų, tokių kaip tokių kaip pasai, asmens tapatybės kortelės, kelionės dokumentai, vairuotojo pažymėjimai, akcizais apmokestinamų prekių banderolės, aukštojo mokslo diplomai ir kt., registro aprašomieji duomenys"
,,,,,dokumento_ar_blanko_id,string,,,,4,open,,Dokumento ar blanko identifikatorius,
,,,,,blanko_identifikacinis_kodas,string,,,,4,open,,Dokumento ar blanko identifikacinis kodas,
,,,,,dokumento_pavadinimas,string,,,,4,open,,Dokumento ar blanko pavadinimas,
,,,,,tvirtinanti_istaiga,string,,,,4,open,,Tvirtinanti įstaiga,
,,,,,istaigos_isleidziancios_dokumenta_pavadinimas,string,,,,4,open,,Įstaigos išleidžiančios dokumentą ar blanką pavadinimas,
,,,,,teises_aktas_tvirtinantis_dokumenta_lt,string,,,,4,open,,Teisės aktas tvirtinantis dokumentą ar blanką,
,,,,,,comment,,,"update(property: ""teises_aktas_tvirtinantis_dokumenta_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,dokumento_pastabos,string,,,,4,open,,Pastabos apie dokumentą,
,,,,,įregistravimo_data,date,D,,,4,open,,Dokumento ar blanko įregistravimo registre data,
,,,,,pastabos_apie_galiojima,string,,,,4,open,,Pastabos apie dokumento galiojimą,
,,,,,dokumento_statusas,string,,,,4,open,,Dokumento ar blanko statusas,
,,,,,,enum,,,"""Patvirtintas""",,,,,
,,,,,,,,,"""Panaikintas su įgaliojimu""",,,,,
,,,,,,,,,"""Panaikintas be įgaliojimo""",,,,,
,,,,,archyvinis,boolean,,,,4,open,,Požymis ar dokumentas arba blankas archyvinis,
,,,,,archyvavimo_data,date,D,,,4,open,,Dokumento ar blanko archyvavimo data,
,,,,,isregistruojanti_istaiga,string,,,,4,open,,Dokumentą ar blanką išregistruojanti įstaiga,
,,,,,,enum,,,"""Valstybės dokumentų technologinės apsaugos tarnyba prie Finansų ministerijos""",,,,,
,,,,,isregistravimo_data,date,D,,,4,open,,Dokumento ar blanko įšregistravimo data,
,,,,,istaiga_kuruojanti_sriti,string,,,,4,open,,Įstaiga kuruojanti dokumento ar blanko sritį,
,,,,,paskelbta_viesai_lt,string,,,,4,open,,Vieta apie paskelbimą viešai,
,,,,,,comment,,,"update(property: ""paskelbta_viesai_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,dokumento_privalomosios_formos_kodas,string,,,,4,open,,Dokumento ar blanko privalomosios formos kodas,
,,,,,,,,,,,,,,
,,,,Pavyzdys,,,vda_prime_key,,,,,,,
,,,,,vda_prime_key,string,,,,,,,Saugiųjų dokumentų ir blankų pavyzdžių sąrašas,"Valstybės saugiųjų dokumentų ir saugiųjų dokumentų  blankų, tokių kaip tokių kaip pasai, asmens tapatybės kortelės, kelionės dokumentai, vairuotojo pažymėjimai, akcizais apmokestinamų prekių banderolės, aukštojo mokslo diplomai ir kt., pavyzdžių sąrašas"
,,,,,pavyzdzio_id,string,,,,4,open,,Dokumento blanko ar pavyzdžio identifikatorius,
,,,,,dokumento_ar_blanko_id,string,,,,4,open,,Dokumento ar blanko identifikatorius,
,,,,,dokumento_pavadinimas,string,,,,4,open,,Dokumento ar blanko pavadinimas,
,,,,,istaigos_isleidziancios_dokumenta_pavadinimas,string,,,,4,open,,Įstaigos išleidžiančios dokumentą ar blanką pavadinimas,
,,,,,nuoroda_i_dokumento_pavyzdį,string,,,,4,open,,Nuoroda į dokumento pavyzdį,
,,,,,,,,,,,,,,
,,,,ApsaugosPriemone,,,vda_prime_key,,,,,,,
,,,,,vda_prime_key,string,,,,,,,Saugiųjų dokumentų ir blankų apsaugos priemonių sąrašas,"Valstybės saugiųjų dokumentų ir saugiųjų dokumentų  blankų, tokių kaip tokių kaip pasai, asmens tapatybės kortelės, kelionės dokumentai, vairuotojo pažymėjimai, akcizais apmokestinamų prekių banderolės, aukštojo mokslo diplomai ir kt., apsaugos priemonių sąrašas"
,,,,,priemones_id,string,,,,4,open,,Dokumento ar blanko apsaugos priemonės identifikatorius,
,,,,,dokumento_ar_blanko_id,string,,,,4,open,,Dokumento ar blanko identifikatorius,
,,,,,dokumento_pavadinimas,string,,,,4,open,,Dokumento ar blanko pavadinimas,
,,,,,istaigos_isleidziancios_dokumenta_pavadinimas,string,,,,4,open,,Įstaigos išleidžiančios dokumentą ar blanką pavadinimas,
,,,,,nuoroda_i_apsaugos_priemones_pavyzdi,string,,,,4,open,,Nuoroda į apsaugos priemonės pavyzdį,
