id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vilkavi_vand,,,,,ns,,,,,,,UAB „Vilkaviškio vandenys“,
,datasets/gov/vilkavi_vand/skaitikliai,,,,,,,,,,,,Vilkaviškio vandenų geriamojo vandens skaitiklių parodymai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Parodymas,,,vda_prime_key,,,4,,,Vilkaviškio vandenų geriamojo vandens skaitiklių parodymai,"Rinkinyje pateikiami UAB „Vilkaviškio vandenys“ nuo 2004 m. kaupiami ir saugomi Vilkaviškio vandenų geriamojo vandens skaitiklių duomenys. Duomenų viena eilutė, tai vieno skaitiklio vienas rodmenų deklaravimas. Be skaitiklio rodmenų, čia galiam rasti ir deklaravimo datą, tipą bei apytikslę skaitiklio koordinatę. Pačios koordinatės suskirstytos į 200 m. x 200 m. gardeles, bei juose visi esantys taškai sudėti į apatinį dešinį gardelės kampą.
Dėl techninių klausimų ar galimų klaidų galima kreiptis į atverimas@stat.gov.lt."
,,,,,vda_prime_key,string,,,,4,open,Identifikatorius,,
,,,,,skaitiklioid,string,,,,4,open,Skaitiklio indentifikatorius,,
,,,,,abonentas,string,,,,4,open,Abonentas,,
,,,,,x_koord_lks,integer,,,,4,open,X koordinatė LKS94 koordinačių sistemoje (apatiniame dešiniame 200 m x 200 m gardelės kampe,,
,,,,,y_koord_lks,integer,,,,4,open,Y koordinatė LKS94 koordinačių sistemoje (apatiniame dešiniame 200 m x 200 m gardelės kampe,,
,,,,,koord_patik_proc,number,,,,4,open,Koordinatės patikimumas procentais (prieš patalpinant koordinatę į gardelę),,
,,,,,abonento_tipas,string,,,,4,open,Abonento tipas,,
,,,,,nuo_data,date,D,,,4,open,Skaitiklio deklaravimo periodo data nuo,,
,,,,,iki_data,date,D,,,4,open,Skaitiklio deklaravimo periodo data iki,,
,,,,,nuo_m3,number,m^3,,,4,open,Skaitiklio deklaruojami rodmenys nuo m^3,,
,,,,,iki_m3,number,m^3,,,4,open,Skaitiklio deklaruojami rodmenys iki m^3,,
,,,,,kiekis_m3,number,m^3,,,4,open,Sunaudoto vandens kiekis m^3,,
,,,,,deklaravimo_data,date,D,,,4,open,Skaitiklio deklaravimo data,,
,,,,,deklaravimo_tipas,string,,,,4,open,Deklaravimo tipas,,
,,,,,tarifo_pav,string,,,,4,open,Tarifo pavadinimas,,
