id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vilniaus_m_sav/nusizengimai,,,,,,,,,,,,Parkavimo ir kelių eismo taisyklių pažeidimai Vilniaus mieste,"Rinkinyje skelbiami Vilniaus mieste fiksuoti parkavimo bei kiti kelių eismo taisyklių pažeidimai iš Administracinių nusižengimų administracinio modulio. Viena eilutė yra vienas nusižengimas. Duomenys skelbiami nuo 2018 m. Pateikiama informacija apie nusižengimą atlikusio asmens automobilį (valstybinio numerio žymėjimas, registracijos valstybė, elektromobilio ar automobilio nutempimo požymiai) ir pažeidimą (laikas, vietos koordinatės bei duomenys apie pažeistą teisės aktą). 

Duomenų teikėjas – Vilniaus miesto savivaldybės administracija. 

Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. "
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Pazeidimas,,,pazeidimo_id,,,4,,,Parkavimo ir kelių eismo taisyklių pažeidimai Vilniaus mieste,"Rinkinyje skelbiami Vilniaus mieste fiksuoti parkavimo bei kiti kelių eismo taisyklių pažeidimai iš Administracinių nusižengimų administracinio modulio. Viena eilutė yra vienas nusižengimas. Duomenys skelbiami nuo 2018 m. Pateikiama informacija apie nusižengimą atlikusio asmens automobilį (valstybinio numerio žymėjimas, registracijos valstybė, elektromobilio ar automobilio nutempimo požymiai) ir pažeidimą (laikas, vietos koordinatės bei duomenys apie pažeistą teisės aktą). 

Duomenų teikėjas – Vilniaus miesto savivaldybės administracija. 

Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. "
,,,,,pazeidimo_id,string,,,,4,open,,Pažeidimo identifikacinis numeris,
,,,,,laikas,datetime,S,,,4,open,,Pažeidimo užfiksavimo laiko žyma,
,,,,,ar_elektromobilis,boolean,,,,4,open,,"Požymis, ar automobilis yra varomas elektriniu varikliu",
,,,,,valst_nr_zym,string,,,,4,open,,Transporto priemonės valstybinio numerio žymėjimas nurodant raidžių ir skaitmenų pozicijas,
,,,,,kilmes_valst,string,,,,4,open,,Transporto priemonės registracijos valstybė,
,,,,,ar_nutempta,boolean,,,,4,open,,"Požymis, ar transporto priemonė po pažeidimo buvo nutempta",
,,,,,geometrija_adp,geometry(4326),,,,4,open,,Pažeidimo vietos koordinatės (WGS),
,,,,,pazeidimas,string,,,,4,open,,Administracinis pažeidimas,
,,,,,aplinkybes,string,,,,4,open,,Pažeidimo aplinkybės,
,,,,,pazeistas_aktas,string,,,,4,open,,Pažeistas teisės aktas,
,,,,,,enum,,,"""Lietuvos Respublikos Vyriausybės,Kelių eismo taisyklių,2002-12-11,SAVAD,1950""",,,,,
,,,,,,,,,"""Vilniaus miesto savivaldybės tarybos,Vietinės rinkliavos už naudojimąsi Tarybos nustatytomis mokamomis vietomis automobiliams statyti nuostatų,SAVAD,1-127,2011-07-13""",,,,,
,,,,,,,,,"""Lietuvos Respublikos Saugaus eismo automobilių keliais įstatymo,SAVAD""",,,,,
,,,,,,,,,"""Lietuvos Respublikos saugaus eismo automobilių keliais įstatymo,SAVAD""",,,,,
,,,,,akto_str,string,,,,4,open,,Pažeisto teisės akto straipsnio numeris,
,,,,,ank_nusizengimas,string,,,,4,open,,Konstatuotas administracinis nusižengimas pagal Administracinių nusižengimų kodeksą (ANK),
,,,,,straipsnis,string,,,,4,open,,Administracinių nusižengimų kodekso straipsnis,
,,,,,,enum,,,"""414""",,,,,
,,,,,,,,,"""417""",,,,,
,,,,,,,,,"""418""",,,,,
,,,,,,,,,"""431""",,,,,
,,,,,dalis,string,,,,4,open,,Administracinių nusižengimų kodekso straipsnio dalis,
,,,,,,enum,,,"""1""",,,,,
,,,,,,,,,"""2""",,,,,
,,,,,,,,,"""2(1)""",,,,,
