id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vilnius/adresai,,,,,,,,,,,,,
,,adresai,,,,csv,,https://open.vilnius.lt/dataset/vilnius-addresses,,,,,,
,,,,Adresai,,,addresses,,,,,,,Vilniaus miesto gatvių duomenų rinkinys iš Vilniaus savivaldybės adresų registro. Duomenų geografinė imtis - Vilniaus miestas.
,,,,,gatId,integer,,GAT_ID,,3,open,,Gatvės ID ,
,,,,,street,string,,STREET,,3,open,,gatvės pavadinimas,
,,,,,houseNo,string,,HOUSE_NO,,3,open,,namo numeris,
,,,,,eldership,string,,ELDERSHIP,,3,open,,seniūnijos pavadinimas,
,,,,,place,string,,PLACE,,3,open,,miestas,
,,,,,longitude,number,,LONGITUDE,,3,open,,"ilguma, geografinė koordinatė",
,,,,,latitude,number,,LATITUDE,,3,open,,"platuma, geografinė koordinatė",
,,,,,fullAddress,string,,FULL_ADDRESS,,3,open,,pilnas adresas - gatvės pavadinimas kartu su namo pavadinimu.,
