id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vlk/aktyvus_gydymas,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Suma,,,,,,4,,,"Sumos, už kurias gydymo įstaigos suteikė stacionarinių aktyviojo gydymo ir dienos chirurgijos paslaugų","Informacija apie sumas, už kurias gydymo įstaigos suteikė stacionarinių aktyviojo gydymo ir dienos chirurgijos paslaugų (pagal gydymo įstaigų įvestus į IS „Sveidra“ duomenis)"
,,,,,istaiga,ref,/datasets/gov/vlk/istaigos/Istaiga,,,4,open,,Įstaigos ID,"Įstaigos, kuri teikė paslaugas, ID"
,,,,,metai,integer,,,,2,open,,Metai,Finansinio laikotarpio metai
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",2,open,spinta:213,,
,,,,,menuo,integer,,,,2,open,,Mėnuo,Finansinio laikotarpio mėnuo
,,,,,,comment,type,,"update(type: ""date"", ref: ""M"")",2,open,spinta:213,,
,,,,,pacientu_grupe,string,,,,4,open,,Pacientų grupė,
,,,,,,enum,,,"LR",,,,,
,,,,,,,,,"EEE arba CH",,,,,
,,,,,,,,,"OVS",,,,,
,,,,,drg_kodas,string,,,,4,open,,DRG kodas,Giminingų diagnozių grupės kodas
,,,,,balai,number,U,,,4,open,,DRG kaina balais,
,,,,,eurai,number,,,,2,open,,DRG kaina eurais,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,dchir,string,,,,4,open,,Dienos chirurgija,"Požymis, nurodantis, ar tai dienos chirurgijos paslauga"
,,,,,,enum,,,"""Ne""",,,,,
,,,,,,,,,"""Taip""",,,,,
,,,,,dchir_gr,integer,,,,3,open,,Dienos chirurgijos paslaugų grupė,"Požymis, nurodantis dienos chirurgijos paslaugų grupę"
