id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vlk/cavp_mpp,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Panaudojimas,,,,,,4,,,Centralizuotai apmokamų vaistinių preparatų ir MPP panaudojimas,Informacija apie panaudotus centralizuotai apmokamus vaistus ir MPP
,,,,,metai,integer,,,,2,open,,Metai,
,,,,,,comment,type,,"update(type: ""date, ref: ""Y"")""",4,open,spinta:213,,
,,,,,ketvirtis,integer,,,,4,open,,Ketvirtis,
,,,,,isakymas,string,,,,4,open,,Įsakymo eilės numeris,Lietuvos Respublikos sveikatos apsaugos ministro 2014 m. rugpjūčio 28 d. įsakymu V-910 „Dėl centralizuotai apmokaų vaistinių preparatų ir medicinos pagalbos priemonių sąrašo patvirtinimo“ patvirtinto  Centralizuotai apmokamų vaistinių preparatų ir medicinos pagalbos priemonių sąrašo eilės numeris
,,,,,grupe,string,,,,4,open,,Preparato/MPP grupė,Vaistinio preparato/MPP grupės pavadinimas
,,,,,bendrinis_pavadinimas,string,,,,4,open,,Bendrinis pavadinimas,Bendrinis vaistinio preparato / MPP pavadinimas
,,,,,atc,string,,,,4,open,,Vaisto kodas ,Vaisto kodas pagal ATC klasifikaciją
,,,,,prekinis_pavadinimas,string,,,,4,open,,Prekinis pavadinimas,Prekinis vaistinio preparato / MPP pavadinimas
,,,,,stiprumas,string,,,,4,open,,Nedalomo vieneto stiprumas,"Vaistinių preparatų ar MPP nedalomo vieneto stiprumas (mg, TV ir kt.)"
,,,,,kodas,string,,,,4,open,,Diagnozės kodas,Diagnozės kodas pagal TLK-10-AM
,,,,,matas,string,,,,4,open,,Nedalomas vienetas (matas),
,,,,,npakid7,integer,,,,4,open,,NPAKID7,Vaistinio preparato identifikavimo kodas
,,,,,kiekis,number,U,,,4,open,,Kiekis,Per ataskaitinį laikotarpį sunaudotas vaistinio preparato / MPP kiekis nedalomais vienetais
