id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vlk/dpsdr_apdraustieji,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Apdraustasis,,,,,,4,,,Apdraustųjų skaičius,
,,,,,data,date,M,,,4,open,,Laikotarpis,Laikotarpis mėnesio tikslumu
,,,,,asm_lytis,string,,,,4,open,,Paciento lytis,
,,,,,,enum,,,"""Vyras""",,,,,
,,,,,,,,,"""Moteris""",,,,,
,,,,,,,,,"""Nenurodyta""",,,,,
,,,,,pagrindas,ref,Pagrindas,,,4,open,,Nuoroda į Pagrindas,Įregistravimo pagrindo unikalus numeris
,,,,,skaicius,number,U,,,4,open,,Apdraustųjų skaičius,Apdraustųjų skaičius (paskutinės mėnesio dienos duomenimis) 
,,,,,,,,,,,,,,
,,,,Pagrindas,,,kodas,,,4,,,Draudžiamųjų grupės,
,,,,,kodas,string,,,,4,open,,Kodas,Draudžiamųjų grupės kodas
,,,,,pavadinimas,string,,,,4,open,,Pavadinimas,Draudžiamųjų grupės pavadinimas
