id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vlk/otp_sumos,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Uzsakymas,,,,,,4,,,Mokamos sumos už ortopedijos technines ir medicinos priemones,Informacija apie PSDF biudžeto išlaidas ortopedijos techninėms priemonėms
,,,,,data,date,,,,4,open,,Data,Ataskaitinio laikotarpio data mėnesio tikslumu
,,,,,istaiga,ref,/datasets/gov/vlk/cp_endoprotezai/Istaiga,,,4,open,,Įstaigos ID,
,,,,,tipas,ref,Tipas,,,4,open,,Nuoroda į Tipas,
,,,,,suma,number,,,,2,open,,Suma eurais,"Kompensuojamoji suma eurais, sumokėta už OTP"
,,,,,,comment,type,,"update(type: ""money, ref: ""EUR"")""",4,open,,spinta:40,
,,,,,,,,,,,,,,
,,,,Tipas,,,,,,4,,,Ortopedijos techninių ir medicinos priemonių tipai,Informacija apie ortopedijos techninių ir medicinos priemonių tipus
,,,,,grupe,ref,Grupe,,,4,open,,Nuoroda į Grupė,
,,,,,,,,,,,,,,
,,,,Grupe,,,,,,4,,,Ortopedijos techninių ir medicinos priemonių tipai,Informacija apie ortopedijos techninių ir medicinos priemonių tipus
,,,,,kodas,string,,,,4,open,,OTP tipo kodas,
,,,,,pavadinimas,string,,,,4,open,,OTP tipo pavadinimas,
,,,,,klase,ref,Klase,,,4,open,,Nuoroda į Klasė,
,,,,,,,,,,,,,,
,,,,Klase,,,,,,4,,,Ortopedijos techninių ir medicinos priemonių klasė,Informacija apie ortopedijos techninių ir medicinos priemonių klases
,,,,,kodas,string,,,,4,open,,OTP klasės kodas,
,,,,,pavadinimas,string,,,,4,open,,OTP klasės pavadinimas,
