id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vlk/tlk10am,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,,,enum,bool,N,false,,,,,
,,,,,,,,T,true,,,,,
,,,,,,,,,,,,,,
,,adk,,,,csv,,https://data.gov.lt/dataset/1259/download/,,,,,,
,,,,,,,,,,,,,,
,,,,Tlk10am,,,code,9423/tlk_10_am_data.csv,,4,,,Ligų sąrašas (TLK-10-AM),"Ligų klasifikacija. TLK-10-AM – Tarptautinė statistinė ligų ir sveikatos sutrikimų klasifikacija, dešimtasis pataisytas ir papildytas leidimas, Australijos modifikacija (TLK-10-AM) – Sisteminis ligų sąrašas"
,,,,,code,string,,DiagnosisCode,,4,open,,,"Diagnozės kodas pagal tarptautinę statistinę ligų ir sveikatos sutrikimų klasifikaciją, dešimtąjį leidimą, Australijos modifikaciją (TLK-10-AM)"
,,,,,name,string,,DiagnosisName,,4,open,,,"Diagnozės pavadinimas pagal tarptautinę statistinę ligų ir sveikatos sutrikimų klasifikaciją, dešimtąjį leidimą, Australijos modifikaciją (TLK-10-AM)"
,,,,,has_asterisk,boolean,bool,DiagnosisHasAsterisk,,4,open,,,Žvaigždutės simbolis  žymi požymio (pasireiškimo) kodą 
,,,,,has_circled_times,boolean,bool,DiagnosisHasCircledTimes,,4,open,,,"Apskritimo simbolis nurodo, kad ligos diagnozės kodą sukūrė australai"
,,,,,has_dagger,boolean,bool,DiagnosisHasDagger,,4,open,,,Kryželio simbolis žymi etiologijos (sukeliančios priežasties) kodą
,,,,,section_code,string,,DiagnosisSectionCode,,2,open,,,Diagnozės kodų poskyrio grupės
,,,,,,comment,type,,"create(property: ""section"", type: ""ref"", ref: ""Section"")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,,comment,type,,"update(property: ""section.code"", type: """")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,section_name,string,,DiagnosisSectionName,,2,open,,,Diagnozės kodų poskyrio pavadinimas  
,,,,,,comment,type,,"update(property: ""section.name"", type: """")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,chapter_code,string,,DiagnosisChapterCode,,2,open,,,Skyriui priklausanti kodų grupė
,,,,,,comment,type,,"create(property: ""chapter"", type: ""ref"", ref: ""Chapter"")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,,comment,type,,"update(property: ""chapter.code"", type: """")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,chapter_name,string,,DiagnosisChapterName,,2,open,,,Skyriaus pavadinimas
,,,,,,comment,property,,"update(property: ""chapter.name"", type: """")",4,open,"spinta:216,vadovas:dsa/ref.html#denormalizuoti-duomenys",,
,,,,,valid_from,date,,DiagnosisValidFrom,,4,open,,,Diagnozės kodo galiojimo pradžios data
,,,,,valid_to,date,,DiagnosisValidTo,,4,open,,,Diagnozės kodo galiojimo pabaigos data
