id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/gpm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,GyventojuPajamuMokestis,,,,,,,,,Gyventojų pajamų mokesčio suma,
,,,,,metai,integer,,,,3,open,,Mokestinio laikotarpio metai,
,,,,,sav_kodas,string,,,,3,open,,Sistemos subjekto savivaldybes kodas,
,,,,,sav_pavadinimas,string,,,,3,open,,Sistemos subjekto savivaldybes pavadinimas,
,,,,,mm_kodas,string,,,,3,open,,Mokesčių mokėtojo identifikacinis numeris,
,,,,,apskaiciuotas_gpm,number,,,,3,open,,Apskaičiuota pajamų mokesčio suma (visa),
,,,,,isskaiciuotas_gpm,number,,,,3,open,,Išskaičiuota pajamų mokesčio suma ,
,,,,,kitu_gpm,number,,,,3,open,,Kitų asmenų lėšomis sumokėta pajamų mokesčio suma ,
,,,,,sumoketas_gpm,number,,,,3,open,,Pajamų mokesčio suma sumokėta iki deklaracijos pateikimo dienos,
,,,,,gpm_prievole,number,,,,3,open,,Pajamų mokesčio prievolė,
,,,,,gpm_moketina_grazintina,number,,,,3,open,,Pajamų mokesčio suma mokėtina / grąžintina suma,
,,,,,kreditas_30_proc,number,,,,3,open,,"Pajamų mokesčio kredito suma, apskaičiuota nuo pajamų taikant 30 proc. atskaitymus",
,,,,,kreditas_fakt,number,,,,3,open,,"Pajamų mokesčio kredito suma, apskaičiuota nuo pajamų taikant 30 faktinius atskaitymus",
,,,,,atleista,number,,,,3,open,,Pajamų mokesčio suma (atleista dėl užsienyje sumokėto mokesčio),
,,,,,atskaityta,number,,,,3,open,,Pajamų mokesčio suma (atskaityta dėl užsienyje sumokėto mokesčio),
,,,,,grazinta_t,number,,,,3,open,,Pajamų mokesčio suma grąžinta pagal prašymo formą FR0464,
