id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,dataset/,,,,,,,,,,,,Duomenys apie asmenis vykdančius individualias veiklas,Duomenys apie asmenis vykdančius individualias veiklas
,dataset/gov/,,,,,,,,,,,,,
,datasets/gov/vmi/individual_vieikla,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,IndividualiVeikla,,,eiles_nr,,,4,open,,Duomenys apie asmenis vykdančius individualias veiklas,
,,,,,eiles_nr,integer,,,,4,open,,Rinkinio eilės numeris,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybės kodas,
,,,,,v_kodas,string,,,,4,open,,Užsienio piliečio valstybės kodas (pagal valstybių klasifikatorių),
,,,,,veiklos_tipas,integer,,,,4,open,,Veiklos tipas,
,,,,,,enum,,,201,,,,,
,,,,,,,,,202,,,,,
,,,,,,,,,205,,,,,
,,,,,,,,,213,,,,,
,,,,,,,,,215,,,,,
,,,,,,,,,217,,,,,
,,,,,,,,,222,,,,,
,,,,,,,,,232,,,,,
,,,,,,,,,250,,,,,
,,,,,,,,,251,,,,,
,,,,,prikl_tipai_mmt_reg_data,date,,,,4,open,,Priklausymo mokesčių mokėtojo tipui registravimo data ,
,,,,,prikl_tipai_vv_pradzia,date,D,,,4,open,,Veiklos vykdymo nurodytam mokesčio mokėtojo tipui (laukas MMT_ID) pradžia,
,,,,,prikl_tipai_vv_pabaiga,date,D,,,4,open,,Veiklos vykdymo nurodytam mokesčio mokėtojo tipui (laukas MMT_ID) pabaiga ,
,,,,,moket_tipai_kodas,string,,,,4,open,,Mokesčių mokėtojo tipo kodas ,
,,,,,moket_tipai_pavadinimas,string,,,,2,open,,Mokesčių mokėtojo tipas,
,,,,,moket_tipai_pradzia,date,D,,,4,open,,Galiojimo pradžia,
,,,,,moket_tipai_pabaiga,date,D,,,4,open,,Galiojimo pabaiga,
,,,,,veiklos_vr_kodas,string,,,,4,open,,Ekonominės veiklos kodas ,
,,,,,veiklos_data_nuo,date,D,,,4,open,,Ekonominės veiklos pradžia ,
,,,,,veiklos_data_iki,date,D,,,4,open,,Ekonominės veiklos pabaiga ,
,,,,,veiklos_pagrindine,integer,,,,4,open,,Veiklos pagrindas,
,,,,,,enum,,,1,,,,Pagrindinė veikla,
,,,,,,,,,0,,,,Šalutinė veikla,
,,,,,ja_kodas,string,,,,4,open,,JA kodas,
,,,,,veiklos_vietos_sav_kodas,string,,,,2,open,,Veiklos vykdymo vietos savivaldybė,
,,,,,veiklos_vietos_pradzia,date,D,,,4,open,,Veiklos vykdymo vietos pradžia,
,,,,,veiklos_vietos_pabaiga,date,D,,,4,open,,Veiklos vykdymo vietos pabaiga,
,,,,,tin_kodas,string,,,,4,open,,Mokesčių mokėtojo identifikacinis numeris VMI informacinėje sistemoje,
,,,,,asm_kodas,string,,,,4,open,,Fizinio asmens kodas (Gyventojų registre suteiktas asmens kodas),
,,,,,vieklos_vieta,string,,,,4,open,,Mokesčių mokėtojo tipas,
