id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/ja_nepriemokos,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,NepriemokosSuma,,,,,,,,,Juridinių asmenų nepriemokos sumos,
,,,,,id,string,,,,4,open,,Unikalus įrašo ID,
,,,,,sukurta,date,D,,,4,open,,Įrašo sukūrimo data,
,,,,,atnaujinta,date,D,,,4,open,,Įrašo atnaujinimo data,
,,,,,ja_kodas,string,,,,2,open,,Juridinio asmens (toliau – JA) kodas,
,,,,,ja_pavadinimas,string,,,,2,open,,JA pavadinimas,
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe[sav_kodas],,,3,open,,"Savivaldybės, kurioje registruotas JA, kodas",
,,,,,nepriemoka,number,,,,2,open,,JA mokestinės nepriemokos suma iš viso,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,pradelsta_nepriemoka,number,,,,2,open,,JA pradelsta mokestinės nepriemokos suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,atideta_nepriemoka,number,,,,2,open,,"JA pagal mokestinės paskolos sutartį, susitarimą dėl pagalbos, restruktūrizavimo planą, mokumo atkūrimo planą, taikos sutartį atidėtos nepriemokos likutis.",
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,atideta_pradelsta,number,,,,2,open,,"JA pagal mokestinės paskolos sutartį, susitarimą dėl pagalbos, restruktūrizavimo planą, mokumo atkūrimo planą, taikos sutartį, pradelsta suma.",
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
