id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/ja_mokesciai,,,,,,,,,,,,Juridinių asmenų sumokėti mokesčiai,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Moketojas,,,id,,,4,open,,Juridinių asmenų sumokėti mokesčiai,
,,,,,id,string,,,,4,open,,Mokėtojo ID VMI sistemoje,
,,,,,mm_kodas,ref,/datasets/gov/vmi/mm_registras/MokesciuMoketojas,,,4,open,,Mokesčių mokėtojo kodas,
,,,,,pavadinimas,string,,,,2,open,,Mokėtojo pavadinimas,
,,,,,tipas,string,,,,2,open,,Mokėtojo tipas,
,,,,,apskritis,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Mokesčių mokėtojo apskritis,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Mokesčių mokėtojo savivaldybė,
,,,,,data,date,D,,,4,open,,Data,
,,,,,suma,money,EUR,,,4,open,,Sumokėta suma,
,,,,,sukurta,date,D,,,4,open,,Įrašo skūrimo data,
,,,,,atnaujinta,date,D,,,4,open,,Įrašo atnaujinimo data,
