id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/oss_deklaracijos,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,OssDeklaracija,,,,eiles_nr,,4,,,OSS Deklaracijoas,"One Stop Shop (OSS) - tai sistema, kuri palengvina mokestinių PVM prievolių vykdymą ūkio subjektams, parduodantiems neapmokestinamiesiems asmenims tam tikras prekes ar paslaugas, už kurias PVM turėtų būti sumokėtas kitoje valstybėje narėje tais atvejais, kai veikla apima daugiau nei vienos ES valstybės narės teritoriją. Ūkio subjektai, besinaudojantys sistema, registruojasi, deklaruoja ir moka PVM vienoje valstybėje narėje, neatsižvelgdami į tai, kad paslaugas teikia ir (ar) prekes tiekia keliose ES valstybėse narėse."
,,,,,eiles_nr,integer,,,,4,open,,Įrašo identifikatorius,
,,,,,dalyvio_id,integer,,,,4,open,,OSS dalyvio identifikatorius,
,,,,,pvm_nr_id,string,,,,4,open,,Mokesčių mokėtojo ID OSS sistemoje,
,,,,,pvm_kodo_valstybe,string,,,,2,open,,"Valstybė,suteikusi PVM mokėtojo kodą",
,,,,,moketojo_kodo_valstybe,string,,,,2,open,,"Valstybė, suteikusi mokesčių mokėtojo kodą",
,,,,,veiklos_salis,string,,,,2,open,,Verslo vietos šalis,
,,,,,registracijos_schema,string,,,,4,open,,Schemos požymis ,
,,,,,,enum,,,"""ES""",,,,ES prievolė,"ES schema skirta prievolių, susijusių su Europos Sąjungos vidaus nuotoline prekyba prekėmis, prekių tiekimo valstybėje narėje naudojant elektronines sąsajas, kuriomis sudaromos sąlygos tiekti prekes, ir paslaugų, kurias teikia Europos Sąjungoje, tačiau ne vartojimo valstybėje narėje įsisteigę apmokestinamieji asmenys, įvykdymui."
,,,,,,,,,"""Importo""",,,,ES supaprastinta PVM prievolė,"Importo schema naudojama, siekiant supaprastintai įvykdyti PVM prievoles, susijusias su nuotoline prekybai iš trečiųjų teritorijų ar trečiųjų valstybių importuojamomis prekėmis. Ši schema dar gali būti vadinama IOSS."
,,,,,,,,,"""non-ES""",,,,Veikla trečiųjų valstybių importui,"Ne ES schema skirta Europos Sąjungoje neįsikūrusiems asmenims, kurie teikia paslaugas neapmokestinamiesiems asmenims, kai tokių paslaugų suteikimo vieta yra atitinkama Europos Sąjungos valstybė narė."
,,,,,reg_statusas,string,,,,4,open,,Registracijos statuso požymio pavadinimas,
,,,,,,enum,,,"""Received""",,,,Priimta,
,,,,,,,,,"""Approved""",,,,Patvirtinta,
