id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/paramos,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Deklaracija,,,,eiles_nr,,4,,,Prašymai pervesti pajamų mokesčio dalį duomenys,"Prašymų pervesti pajamų mokesčio dalį vienetams, turintiems teisę gauti paramą, ir (arba) politinėms partijoms duomenys"
,,,,,eiles_nr,string,,,,4,open,,Įrašo identifikatorius,
,,,,,remejo_kodas,string,,,,4,open,,Rėmėjo kodas,
,,,,,metai,integer,,,,4,open,,Mokestinis laikotarpis,
,,,,,gavejo_kodas,string,,,,4,open,,Gavėjo kodas,
,,,,,gavejo_pavadinimas,string,,,,4,open,,Gavėjo pavadinimas,
,,,,,gavejo_sav_kodas,string,,,,4,open,,Gavėjo savivaldybės kodas,
,,,,,gavejo_savivaldybe,string,,,,4,open,,Gavėjo savivaldybė,
,,,,,gavejo_tipas,string,,,,4,open,,Gavėjo tipas,
,,,,,gavejo_imones_rusis,string,,,,4,open,,Gavėjo įmonės rūšis,
,,,,,mokescio_dalis_proc,number,%,,,4,open,,Mokesčio dalis,Procentais
,,,,,suma,number,,,,4,open,,Apskaičiuota paramos suma,Eurais
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
