id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/turto_realizavimas,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,ValstPerduotasTurtas,,,,,,,,,,
,,,,,bylos_nr,string,,,,2,open,,Atsargų kodas (bylos Nr.),
,,,,,turto_pav,string,,,,1,open,,Turto pavadinimas,
,,,,,apskritis,string,,,,2,open,,Apskritis,
,,,,,vpt_grupe,string,,,,3,open,,VPT grupė,
,,,,,vpt_kategorija,string,,,,3,open,,VPT kategorija,
,,,,,bylos_tipas,string,,,,3,open,,Bylos tipas,
,,,,,realizuota,date,D,,,4,open,,Realizavimo veiksmo data,
,,,,,realiz_budas,string,,,,3,open,,Realizavimo veiksmo tipas,
,,,,,realizuotojas,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo[ja_pavadinimas],,,2,open,,Realizuotojo pavadinimas,
,,,,,mato_vnt,string,,,,3,open,,Mato vienetas,
,,,,,realiz_turto_verte,number,,,,2,open,,Realizuoto turto vertė,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,realiz_turto_kiekis,integer,U,,,4,open,,Realizuoto turto kiekis,
,,,,,suma,number,,,,2,open,,Realizuoto turto suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,turtas_apskaitytas,date,D,,,4,open,,Turto apskaitymo data,
,,,,,apsk_turto_verte,number,,,,2,open,,Apskaityto turto vertė,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,apsk_turto_kiekis,integer,U,,,4,open,,Apskaityto turto kiekis,
,,,,,apsk_turto_suma,number,,,,2,open,,Apskaityto turto suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,pajamuota,date,D,,,4,open,,Pajamavimo veiksmo data,
