id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/veiklos,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,IndividualiVeikla,,,eiles_nr,,,4,open,,Duomenys apie asmenis vykdančius individualias veiklas,
,,,,,eiles_nr,integer,,,,4,open,,Rinkinio eilės numeris,
,,,,,asm_kodas,string,,,,2,open,,Fizinio asmens kodas (Gyventojų registre suteiktas asmens kodas),
,,,,,savivaldybe,integer,,,,2,open,,Savivaldybės kodas,
,,,,,valstybes_kodas,integer,,,,2,open,,Užsienio piliečio valstybės kodas (pagal valstybių klasifikatorių),
,,,,,veiklos_tipas,integer,,,,4,open,,Veiklos tipas,
,,,,,,enum,,,201,,,,Notarai,
,,,,,,,,,202,,,,Advokatai,
,,,,,,,,,205,,,,"Nenuolatiniai  Lietuvos gyventojai, vykdantys individualią veiklą Lietuvoje per nuolatinę bazę",
,,,,,,,,,213,,,,Advokatų padėjėjai,
,,,,,,,,,215,,,,"Gyventojai, vykdantys individualią veiklą",
,,,,,,,,,217,,,,Antstoliai,
,,,,,,,,,222,,,,Ūkininko partneris,
,,,,,,,,,232,,,,"Gyventojas, vykdantis žemės ūkio individualią veiklą, kurio žemės ūkio valdos dydis didesnis negu 14 EDV",
,,,,,,,,,250,,,,"Gyventojas, vykdantis individualią žemės ūkio veiklą, kurio žemės ūkio valdos (ūkio) ekonominis dydis yra lygus 4 EDV arba didesnis",
,,,,,,,,,251,,,,"Gyventojas, vykdantis individualią veiklą, įregistruotą MA iniciatyva (viršijęs teisės aktuose nustatytą iš JA gautų pajamų sumą arba deklaravęs pajamas iš individualios veiklos)",
,,,,,pradzia,date,D,,,4,open,,Veiklos vykdymo nurodytam mokesčio mokėtojo tipui (laukas MMT_ID) pradžia,
,,,,,pabaiga,date,D,,,4,open,,Veiklos vykdymo nurodytam mokesčio mokėtojo tipui (laukas MMT_ID) pabaiga ,
,,,,,moketojas,string,,,,2,open,,Mokesčių mokėtojo tipas,
,,,,,veikla,integer,,,,2,open,,Ekonominės veiklos kodas ,
,,,,,veiklos_pradzia,date,D,,,4,open,,Ekonominės veiklos pradžia ,
,,,,,veiklos_pabaiga,date,D,,,4,open,,Ekonominės veiklos pabaiga ,
,,,,,pagrindas,integer,,,,4,open,,Veiklos pagrindas,
,,,,,,enum,,,1,,,,Pagrindinė veikla,
,,,,,,,,,0,,,,Nepagrindinė veikla,
,,,,,vieta,integer,,,,2,open,,Veiklos vykdymo vietos savivaldybė,
,,,,,vietoje_pradzia,date,D,,,4,open,,Veiklos vykdymo vietos pradžia,
,,,,,vietoje_pabaiga,date,D,,,4,open,,Veiklos vykdymo vietos pabaiga,
,,,,,kodas,string,,,,4,open,,Mokesčių mokėtojo identifikacinis numeris VMI informacinėje sistemoje ,
