id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmi/verslo_liudijimai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VersloLiudijimas,,,,eiles_nr,,4,,,Gyventojams išduotų verslo liudijimų duomenys,
,,,,,eiles_nr,string,,,,4,open,,Įrašo eilės numeris,
,,,,,mm_kodas,string,,,,4,open,,Mokesčių mokėtojo kodas,
,,,,,registracija,date,D,,,4,open,,Verslo liūdijimo reistracijos data,
,,,,,metai,integer,,,,2,open,,"Mokestinio laikotarpio"","" kuriam išduotas verslo liudijimas"","" metai",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,grupe,integer,,,,4,open,,"Veiklos grupė"","" priskirta pagal prašyme išduoti VL nurodytą veiklos rūšies arba jos porūšių grupę. Veiklos rūšies grupė.",
,,,,,,enum,,,1,,,,1 - gamyba,
,,,,,,,,,2,,,,2 - paslaugos,
,,,,,,,,,3,,,,3 - prekyba,
,,,,,teritorija,integer,,,,4,open,,"Veiklos teritorija. Veiklos teritorija ("","" "","" išskyrus išskirtąsias savivaldybes"","")",
,,,,,,enum,,,1,,,,1- neribota,
,,,,,,,,,2,,,,2 - visur,
,,,,,,,,,3,,,, 3 - konkrečioje  savivaldybėje,
,,,,,savivaldybe,integer,,,,2,open,,"Asmens"","" kuriam išduotas verslo liudijimas"","" gyvenamosios vietos savivaldybės kodas",
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,manifest:1263,,
,,,,,,comment,type,,"update(property: ""savivaldybe.sav_kodas"", type: """")",4,,"spinta:216, manifest:1263",,
,,,,,teritorija_kodas,integer,,,,2,open,,"Savivaldybė, kurią asmuo nurodo pildydamas prašymą, kai pasirenka teritoriją „konkrečioje savivaldybėje“ (nuo pasirinktos teritorijos priklauso VL kaina)",
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,manifest:1263,,
,,,,,,comment,type,,"update(property: ""savivaldybe.sav_kodas"", type: """")",4,,"spinta:216, manifest:1263",,
,,,,,rusies_kodas,string,,,,2,open,,"Veiklos"","" kuria verčiamasi įsigijus verslo liudijimą"","" rūšies kodas (pirmoji kodo dalis)",
,,,,,rusis_pavadinimas,string,,,,2,open,,"Veiklos"","" kuria verčiamasi įsigijus verslo liudijimą"","" rūšies pavadinimas",
,,,,,evrk_klases,string,,,,2,open,,EVRK klasės pavadinimas,
,,,,,data_nuo,date,D,,,4,open,,Verslo liūdijimo įsigaliojimo pradžia,
,,,,,data_iki,date,D,,,4,open,,Verslo liūdijimo įsigaliojimo pabaiga,
,,,,,sprendimo_data,date,D,,,4,open,,"Sprendimo data dėl prašymo"","" atitinkančio aktualią VL versiją (VL pratęsimo)",
,,,,,veiklos_pabaiga,date,D,,,4,open,,"Prašyme ""Nutraukti veiklą"" nurodyta pirmoji diena"","" kurią nebevykdoma veikla jai nutrūkus dėl VL įsigijusio asmens mirties"","" ligos"","" išvykimo ar kitų priežasčių",
,,,,,anuliavimo_data,date,D,,,4,open,,Verslo liudijimo anuliavimo VMI data ir laikas,
,,,,,nutraukimo_pozymis,string,,,,4,open,,"Požymis"","" nurodantis priežasčių"","" dėl kurių nutrūko veikla pagal verslo liudijimą"","" grupę. ",
,,,,,,enum,,,"""I""",,,,I - išvykimas,
,,,,,,,,,"""L""",,,,L - liga,
,,,,,,,,,"""K""",,,,K - kita su mokesčio grąžinimu,
,,,,,,,,,"""A""",,,,A - nutraukimas be mokesčio grąžinimo,
,,,,,veiklos_vieta_veiksmas,integer,,,,4,open,,VL veiklos galiojimas: ,
,,,,,,enum,,,0,,,,"0 - išbraukti (anksčiau įrašyta) nuo laukelyje PRADZIA datos"","" ",
,,,,,,,,,1,,,,"1 - įrašyti nuo laukelyje PRADZIA datos"","" ",
,,,,,,,,,2,,,,2 - įrašyti nuo laukelyje PRADZIA datos iki laukelyje PABAIGA,
,,,,,veiklos_sav,integer,,,,2,open,,"Adreso, kuriame asmuo nurodo, kad vykdys veiklą, savivaldybė.",
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,manifest:1263,,
,,,,,,comment,type,,"update(property: ""savivaldybe.sav_kodas"", type: """")",4,,"spinta:216, manifest:1263",,
,,,,,anuliavimo_priezastis_aprasymas,string,,,,4,open,,VL anuliavimo priežastis,
,,,,,,enum,,,"""Anuliuota""",,,,VL anuliuotas,
,,,,,,,,,"""Galioja""",,,,Ne - VL galioja,
,,,,,veiklos_tipas,integer,,,,4,open,,Ar tai stacionarioje vietoje vykdoma veikla.,
,,,,,,enum,,,0,,,,"0 - nestacionari",
,,,,,,,,,1,,,,"1 - stacionari",
,,,,,lengvata,string,,,,4,open,,Lengvatos priežasties pavadinimas,
,,,,,,enum,,,"""Taip""",,,,Taip - lengvatą turi,
,,,,,,,,,"""Ne""",,,,Ne - lengvatos neturi,
