id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmvt/gyvunu_tyrimai,,,,,,,,,,,,Valstybinės maisto ir veterinarijos tarnybos gyvūnų tyrimai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,GyvunasTyrimas,,,iraso_id,,,4,,,Valstybinės maisto ir veterinarijos tarnybos gyvūnų tyrimai,"Rinkinyje pateikiami nuo 2008 m. Valstybinės maisto ir veterinarijos tarnybos kaupiami duomenys apie gyvūnams atliktus tyrimus. Rinkinyje pateikiama informacija apie atliktus tyrimus ir jų rezultatus, gyvūnų amžių, laikymo vietą seniūnijos tikslumu. Viena eilutė atitinka vieno gyvūno vieno tyrimo statusą.
Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikacinis kodas,
,,,,,gyvuno_id,string,,,,4,open,,Gyvūno identifikatorius,
,,,,,meginio_id,string,,,,4,open,,Mėginio identifikatorius,
,,,,,laboratorijos_uzsakymo_nr,string,,,,4,open,,Laboratorijos užsakymo numeris,
,,,,,gyvuno_amzius_nuo,integer,,,,4,open,,Gyvūno amžius nuo,
,,,,,gyvuno_amzius_iki,integer,,,,4,open,,Gyvūno amžius iki,
,,,,,tiriama_liga,string,,,,4,open,,Tiriama liga,
,,,,,tyrimo_rez_reiksme,string,,,,4,open,,Tyrimo rezultato reikšmė,
,,,,,gautas_tyr_rezultatas,string,,,,4,open,,Tyrimo rezultatas,
,,,,,normalus_tyr_rezultatas,string,,,,4,open,,"Rezultato reikšmė, kai gyvūnas yra sveikas",
,,,,,tyrimo_rez_vienetai,string,,,,4,open,,Tyrimo rezultato vienetai,
,,,,,paskutine_tyrimo_busena,string,,,,4,open,,Paskutinė tyrimo būsena,
,,,,,paskutines_tyr_busen_data,date,D,,,4,open,,Paskutinės tyrimo būsenos data,
,,,,,tyrimo_tikslas,string,,,,4,open,,Tyrimo tikslas,
,,,,,tyrimo_tipas,string,,,,4,open,,Tyrimo tipas,
,,,,,tyrimo_tipo_aprasymas,string,,,,4,open,,Tyrimo tipo aprašymas,
,,,,,savivaldybe,string,,,,4,open,,"Savivaldybė, kurioje yra gyvūnas",
,,,,,seniunija,string,,,,4,open,,"Seniūnija, kurioje yra gyvūnas",
