id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vmvt/kontroles_subjektai,,,,,,,,,,,,Valstybinės veterinarinės kontrolės subjektų duomenys,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,KontrolesSubjektai,,,obj_vet_pat_nr,,,4,,,Valstybinės veterinarinės kontrolės subjektai,
,,,,,obj_vet_pat_nr,string,,,,4,open,,Veterinarinio patvirtinimo numeris,
,,,,,obj_patvirtinimo_data,date,D,,,4,open,,Veterinarinio patvirtinimo data,
,,,,,obj_pavadinimas,string,,,,0,open,,Veterinarinės kontrolės objekto ar subjekto pavadinimas,"Šiuo metu požymis tuščias, nes tvarkoma VMVT maisto informacinė sistema"
,,,,,obj_adresas,string,,,,0,open,,Veterinarinės kontrolės objekto adresas,"Šiuo metu požymis tuščias, nes tvarkoma VMVT maisto informacinė sistema"
,,,,,obj_kontaktai,string,,,,0,open,,Veterinarinės kontrolės objekto kontaktiniai duomenys,"Šiuo metu požymis tuščias, nes tvarkoma VMVT maisto informacinė sistema"
,,,,,obj_vmvt,string,,,,2,open,,VMVT teritorinė,"VMVT departamentas ar skyrius, kuris kontroliuoja veterinės kontrolės objektą"
,,,,,obj_veikla_kodas,ref,VeiklosKlasifikatorius,,,4,open,,VMVT veiklos kodas,
,,,,,,,,,,,,,,
,,,,VeiklosKlasifikatorius,,,obj_veikla_kodas,,,4,,,VMVT veiklos klasifikatorius,
,,,,,obj_veikla_kodas,integer,,,,4,open,,VMVT veiklos kodas,
,,,,,obj_veiklos_kategorija,string,,,,4,open,,VMVT veiklos kategorija,
,,,,,obj_veikla,string,,,,4,open,,VMVT veiklos pavadinimas,
