id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vpb/pzr,,,,,,,,,,,,Lietuvos Respublikos prekių ženklai,"Lietuvos Respublikos prekių ženklų registre nuo 2014 m. kaupiami ir iki šiol atnaujinami Lietuvoje galiojančių prekių ženklų duomenys. Duomenų rinkinyje nuo 1991 m. kaupiami ir iki šiol atnaujinami prekių ženklų duomenys. Bendras rinkinys sudarytas iš keturių lentelių: „Prekių ženklai“, „Prekių ženklams priskirti asmenys“, „Prekių ženklų Vienos klasifikacijos“ ir „Prekių ženklų Nicos klasifikacijos“. Duomenų teikėjas – Lietuvos Respublikos valstybinis patentų biuras. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,PrekesZenklas,,,vda_prime_key,,,,,,Prekių ženklai,"Lentelė „Prekių ženklai“. Lentelę sudaro: prekės ženklo bylos registracijos ir paraiškos numeriai, pavadinimas, prekės ženklo tipas, dabartinė būsena su pradžios data, prekės ženklo galiojimo pabaigos, paraiškos ir registracijos bei jos paskelbimo datos bei prekės ženklo atvaizdo internetinė nuoroda. Vienas įrašas atitinka vieną prekės ženklo bylą (unikalią prekės ženklo numerio reikšmę)."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,registracijos_nr,string,,,,4,open,,Prekės ženklo bylos registracijos numeris,
,,,,,paraiskos_nr,string,,,,4,open,,Prekės ženklo bylos paraiškos numeris,
,,,,,pavadinimas,string,,,,4,open,,Prekės ženklo pavadinimas,
,,,,,zenklo_tipas,string,,,,4,open,,Prekės ženklo tipas,
,,,,,,enum,,,"""Grafinis""",,,,Grafinis,
,,,,,,,,,"""Žodinis""",,,,Žodinis,
,,,,,,,,,"""Erdvinis""",,,,Erdvinis,
,,,,,,,,,"""Garsinis""",,,,Garsinis,
,,,,,,,,,"""Spalva""",,,,Spalva,
,,,,,,,,,"""Multimedinis""",,,,Multimedinis,
,,,,,,,,,"""Judesio""",,,,Judesio,
,,,,,dabartine_busena,string,,,,4,open,,Prekės ženklo dabartinė būsena,
,,,,,dabartines_busenos_data,date,D,,,4,open,,"Data, nuo kada galioja dabartinė būsena",
,,,,,paraiskos_data,date,D,,,4,open,,Prekės ženklo bylos paraiškos data,
,,,,,registracijos_data,date,D,,,4,open,,Prekės ženklo registracijos data,
,,,,,registracijos_paskelbimo_data,date,D,,,4,open,,Prekės ženklo registracijos paskelbimo data,
,,,,,galiojimo_pabaigos_data,date,D,,,4,open,,Prekės ženklo galiojimo pabaigos data,
,,,,,zenklo_atvaizdo_url,string,,,,4,open,,Vaizdinio prekės ženklo atvaizdo internetinė nuoroda,
,,,,,,,,,,,,,,
,,,,Asmuo,,,vda_prime_key,,,,,,Prekių ženklams priskirti asmenys,"Lentelė „Prekių ženklams priskirti asmenys“. Lentelę sudaro: prekės ir paraiškos numeriai, priskirto juridinio asmens pavadinimas arba fizinio asmens vardas ir pavardė, asmens tipas, vaidmuo prekės ženkle, pateiktas adresas ir šalis. Vienas įrašas atitinka vieną unikalią prekės ženklo registracijos, paraiškos numerių, asmens, jo adreso ir vaidmens prekės ženkle kombinaciją."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,registracijos_nr,string,,,,4,open,,Prekės ženklo bylos registracijos numeris,
,,,,,paraiskos_nr,string,,,,4,open,,Prekės ženklo bylos paraiškos numeris,
,,,,,asmuo,string,,,,4,open,,Prekės ženklui priskirto fizinio asmens vardas su pavarde arba juridinio asmens pavadinimas,
,,,,,tipas,string,,,,4,open,,Prekės ženklui priskirto asmens tipas,
,,,,,,enum,,,"""Fizinis""",4,open,,Fizinis asmuo,
,,,,,,,,,"""Juridinis""",4,open,,Juridinis asmuo,
,,,,,vaidmuo,string,,,,4,open,,Prekės ženklui priskirto asmens vaidmuo,
,,,,,,enum,,,"""Pareiškėjas""",,,,Pareiškėjas,
,,,,,,,,,"""Atstovas""",,,,Atstovas,
,,,,,salis,string,,,,4,open,,Prekės ženkui priskirto asmens šalis,
,,,,,adresas,string,,,,4,open,,Prekės ženkui priskirto asmens adresas,
,,,,,,,,,,,,,,
,,,,VienosKlasifikacija,,,vda_prime_key,,,,,,Prekių ženklų Vienos klasifikacijos,"Lentelė „Prekių ženklų Vienos klasifikacijos“. Lentelę sudaro: prekės ženklo registracijos ir paraiškos numeriai, Vienos klasifikacijos sekcija ir jos semantinis apibūdinimas. Vienas įrašas atitinka vieną unikalią prekės ženklo registacijos, paraiškos numerių ir Vienos klasifikacijos sekcijos kombinaciją."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,registracijos_nr,string,,,,4,open,,Prekės ženklo bylos registracijos numeris,
,,,,,paraiskos_nr,string,,,,4,open,,Prekės ženklo bylos paraiškos numeris,
,,,,,sekcija,string,,,,4,open,,Vienos klasifikacijos sekcija,
,,,,,aprasymas,string,,,,4,open,,Vienos klasifikacijos sekcijos aprašymas,
,,,,,,,,,,,,,,
,,,,NicosKlasifikacija,,,vda_prime_key,,,,,,Prekių ženklų Nicos klasifikacijos,"Lentelė „Prekių ženklų Nicos klasifikacijos“. Lentelę sudaro: prekės ženklo registracijos ir paraiškos numeriai, Nicos klasifikacinis kodas ir jam priskirti terminai. Vienas įrašas atitinka vieną unikalią prekės ženklo registacijos, paraiškos numerių ir Nicos klasifikacinio kodo kombinaciją."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,registracijos_nr,string,,,,4,open,,Prekės ženklo bylos registracijos numeris,
,,,,,paraiskos_nr,string,,,,4,open,,Prekės ženklo bylos paraiškos numeris,
,,,,,klases_kodas,string,,,,4,open,,Nicos klasifikacijos klasės kodas,
,,,,,klases_terminai,string,,,,4,open,,Nicos klasifikacijos klasės terminai,
