id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vpt/sutartys,,,,,,,,,,,,Pirkimų sutarčių duomenys,
,,,,,,,,,,,,,,
,,,,VptNSutartys,,,,,,,,,,
,,,,,dok_id,integer,,,,4,open,,,
,,,,,dok_atask_id,integer,,,,3,open,,,
,,,,,dok_formos_tipas,integer,,,,3,open,,,
,,,,,dok_reg_data,datetime,,,,3,open,,,
,,,,,dok_sys_reg_data,datetime,,,,3,open,,,
,,,,,dok_reg_nr,integer,,,,3,open,,,
,,,,,dok_statusas,integer,,,,3,open,,,
,,,,,dok_ivedimo_data,datetime,,,,3,open,,,
,,,,,dok_po_tinka_issiuntimui,integer,,,,3,open,,,
,,,,,dok_issiuntimo_data,datetime,,,,3,open,,,
,,,,,dok_sudarymo_data,datetime,,,,3,open,,,
,,,,,dok_sut_numeris,string,,,,3,open,,,
,,,,,dok_sut_obj_rusis,integer,,,,3,open,,,
,,,,,dok_sut_obj_pav,string,,,,3,open,,,
,,,,,dok_sut_verte,string,,,,3,open,,,
,,,,,dok_sut_galiojimo_data,datetime,,,,3,open,,,
,,,,,dok_indeksas,integer,,,,3,open,,,
,,,,,dok_parent_sut_indeksas,integer,,,,3,open,,,
,,,,,dok_sut_eil_nr,integer,,,,3,open,,,
,,,,,dok_sap_indeksas,integer,,,,3,open,,,
,,,,,dok_sut_tipas,integer,,,,3,open,,,
,,,,,pirk_vykdomas_cvp_is,integer,,,,3,open,,,
,,,,,dok_pirkimo_numeris,string,,,,3,open,,,
,,,,,dok_pirkimo_budas,string,,,,3,open,,,
,,,,,pirk_preliminary,integer,,,,3,open,,,
,,,,,dok_fakt_sut_ivyk_verte,string,,,,3,open,,,
,,,,,dok_fakt_sut_ivyk_data,datetime,,,,3,open,,,
,,,,,,,,,,,,,,
,,,,SutartiesSalysTbl,,,,,,,,,,
,,,,,suts_sut_id,integer,,,,4,open,,,
,,,,,suts_eil_nr,integer,,,,4,open,,,
,,,,,suts_pasirase_data,datetime,,,,3,open,,,
,,,,,suts_pastabos,string,,,,3,open,,,
,,,,,suts_patikslinimas,string,,,,3,open,,,
,,,,,,,,,,,,,,
,,,,VptNCpvKodaiMain,,,,,,,,,,
,,,,,m_nom_dok_id,integer,,,,4,open,,,
,,,,,m_nom_cpv_id,integer,,,,3,open,,,
,,,,,m_nom_eil_nr,integer,,,,4,open,,,
,,,,,m_nom_dalt_id,integer,,,,4,open,,,
,,,,,m_nom_dal_eil_nr,integer,,,,4,open,,,
,,,,,m_nom_prb_eil_nr,integer,,,,4,open,,,
,,,,,,,,,,,,,,
,,,,VptNCpvKoduTipaiMain,,,,,,,,,,
,,,,,mcpv_kodas,string,,,,3,open,,,
,,,,,mcpv_pav,string,,,,3,open,,,
,,,,,pirk_obj_objt_id,integer,,,,3,open,,,
,,,,,kategorija,integer,,,,3,open,,,
,,,,,mcpv_versija,integer,,,,3,open,,,
,,,,,,,,,,,,,,
,,,,VptNPirkimoBudai,,,,,,,,,,
,,,,,pirkb_id,integer,,,,4,open,,,
,,,,,pirkb_kodas,integer,,,,3,open,,,
,,,,,pirkb_pav,string,,,,3,open,,,
,,,,,,,,,,,,,,
,,,,VptPirkimoKodai,,,,,,,,,,
,,,,,pk_obj_id,integer,,,,4,open,,,
,,,,,pk_pirkimo_kodas,integer,,,,3,open,,,
,,,,,pk_reg_data,datetime,,,,3,open,,,
,,,,,pk_po_sbj_id,integer,,,,3,open,,,
,,,,,,,,,,,,,,
,,,,VptNPirkimoBudaiSutartims,,,,,,,,,,
,,,,,pirkbs_id,integer,,,,4,open,,,
,,,,,pirkbs_kodas,integer,,,,3,open,,,
,,,,,pirkbs_pav,string,,,,3,open,,,
,,,,,pirkbs_data_galioja_iki,datetime,,,,3,open,,,
