id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vrk/reitingo_eilutes,,,,,,,,,,,,,
,,resource7,,,,html,,https://atviriduomenys.vrk.lt/datasets/gov/vrk/ReitingoEilutes,,,,,,
,,,,ReitingoEilute,,,"rink_turo_apyg_id, rink_turo_apyl_id",,,2,,,,
,,,,,rink_turo_id,integer,,,,2,open,,Rinkimų turo identifikatorius,
,,,,,rink_turo_pavad,string,,,,2,open,,Rinkimų turo pavadinimas,
,,,,,rink_turo_apyg_id,integer,,,,2,open,,Rinkimų turo apygardos identifikatorius,
,,,,,rink_turo_apyl_id,integer,,,,2,open,,Rinkimų turo apylinkės identifikatorius,
,,,,,saraso_id,integer,,,,2,open,,"Kandidatų sąrašo (rinkimų organizacijos), keliamo daugiamandatėje apygardoje, identifikatorius",
,,,,,saraso_nr,integer,,,,2,open,,Kandidatų sąrašo numeris,"Kandidatų sąrašo, keliamo daugiamandatėje apygardoje, numeris"
,,,,,saraso_pavad,string,,,,2,open,,Kandidatų sąrašo pavadinimas,"Kandidatų sąrašo, keliamo daugiamandatėje apygardoje, pavadinimas"
,,,,,saraso_ja_kodas,string,,,,2,open,,Kandidatų sąrašo juridinio asmens kodas Juridinių asmenų registre,
,,,,,biul_eiles_nr,integer,,,,4,open,,Biuletenio eilės numeris,Biuletenio su reitingo balsais eilės numeris
,,,,,kand_reit_1,integer,,,,4,open,,"Kandidato rinkimų numeris, nurodytas biuletenio 1-ame laukelyje",
,,,,,kand_reit_2,integer,,,,4,open,,"Kandidato rinkimų numeris, nurodytas biuletenio 2-ame laukelyje",
,,,,,kand_reit_3,integer,,,,4,open,,"Kandidato rinkimų numeris, nurodytas biuletenio 3-iame laukelyje",
,,,,,kand_reit_4,integer,,,,4,open,,"Kandidato rinkimų numeris, nurodytas biuletenio 4-ame laukelyje",
,,,,,kand_reit_5,integer,,,,4,open,,"Kandidato rinkimų numeris, nurodytas biuletenio 5-ame laukelyje",
