id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vsdfv/pasalpos,,,,,,,,,,,,,
,,sodrapasalpos,,,,csv,,https://atvira.sodra.lt/downloads/lt-eur/pasalpos.zip,"self.extract(""zip"")[""pasalpos.csv""]",,,,,
,,,,Pasalpos,,,"pasalpos_rusis, pasalpos_porusis",,,,,,,
,,,,,metu_menuo,date,1M,METU_MENUO,,4,open,,mėnuo,Mėnuo
,,,,,pasalpos_rusis,string,,PASALPOS_RUSIS,,3,open,,išmokos rūšis,Išmokos rūšis
,,,,,pasalpos_porusis,string,,PASALPOS_PORUSIS,,3,open,,išmokos porūšis,Išmokos porūšis
,,,,,savivaldybe,string,,SAVIVALDYBE,,3,open,,savivaldybė,Savivaldybė
,,,,,lytis,string,,LYTIS,,3,open,,lytis,Lytis
,,,,,amzius,string,,AMZIUS,,3,open,,amžius,Amžius
,,,,,atveju_sk,number,,ATVEJU_SK,,3,open,,atvejų skaičius,Atvejų skaičius
,,,,,gaveju_sk,number,,GAVEJU_SK,,3,open,,gavėjų skaičius,Gavėjų skaičius
,,,,,apmok_dienu_sk,number,,APMOK_DIENU_SK,,3,open,,apmokėtų dienų skaičius,Apmokėtų dienų skaičius
,,,,,pasalpu_sk,number,,PASALPU_SK,,3,open,,išmokų skaičius,Išmokų skaičius
,,,,,prisk_suma_eur,currency,EUR,PRISK_SUMA_EUR,,4,open,,"priskaičiuota išmokų suma, Eur","Priskaičiuota išmokų suma, Eur"
