id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vstt,,,,,,,,,,,,Valstybinė saugomų teritorijų tarnyba prie Aplinkos ministerijos,
,datasets/gov/vstt/vilku_medziokles,,,,,,,,,,,,Sumedžioti vilkai Lietuvoje,"Rinkinyje pateikiami išsamūs duomenys apie sumedžiotus vilkus Lietuvos Respublikos teritorijoje nuo 2018m. iki šių dienų. Rinkinio objektas - vienas sumedžiotas vilkas. Nurodomas medžioklės laikas, vieta, būdas, duomenys apie vilką (amžius, lytis, sveikatos būklė) ir gaują (jauniklių ir suaugusių vilkų skaičius). Atskirai pateikiama ir sumedžiotų vilkų statistika, kur duomenys pateikiami savivaldybės ir datos tikslumu. Duomenų teikėjas: Valstybinė saugomų teritorijų tarnyba prie Aplinkos ministerijos. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,SavivaldybeDiena,,,vda_id,,,4,,,Statistika apie sumedžiotus vilkus Lietuvos savivaldybėse,"Pateikiami sumedžiotų vilkų statistika, kur duomenys nurodomi savivaldybės ir datos tikslumu. Duomenų teikėjas: Valstybinė saugomų teritorijų tarnyba prie Aplinkos ministerijos. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,data,date,D,,,4,open,,Medžioklės data,
,,,,,sumedziota_vnt,integer,U,,,4,open,,Bendras sumedžiotų vilkų skaičius,
,,,,,,,,,,,,,,
,,,,Vilkas,,,vda_id,,,4,,,Duomenys apie sumedžiotus vilkus,"Rinkinyje pateikiami išsamūs duomenys apie sumedžiotus vilkus Lietuvos Respublikos teritorijoje nuo 2018m. iki šių dienų. Rinkinio objektas - vienas sumedžiotas vilkas. Nurodomas medžioklės laikas, vieta, būdas, duomenys apie vilką (amžius, lytis, sveikatos būklė) ir gaują (jauniklių ir suaugusių vilkų skaičius). Duomenų teikėjas: Valstybinė saugomų teritorijų tarnyba prie Aplinkos ministerijos. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,iraso_data,datetime,L,,,4,open,,Įrašo sukūrimo data,
,,,,,medziokles_laikas,datetime,L,,,4,open,,Vilko sumedžiojimo laiko žyma,
,,,,,savivaldybe,string,,,,4,open,,"Savivaldybė, kurioje įvyko medžioklė. Požymis buvo išskaičiuotas vilko sumedžiojimo vietos koordinatę prijungiant prie 10x10 km gardelių, kuriomis suskirstyta Lietuvos Respublikos teritorija. Kiekviena gardelė yra priskirta tam tikrai savivaldybei, tad pagal šį požymį buvo išskaičiuota vilko sumedžiojimo vietos savivaldybė.",
,,,,,medziojimo_budas,string,,,,4,open,,Vilko medžiojimo būdas,
,,,,,,enum,,,"""tykojant""",,,,,
,,,,,,,,,"""varant""",,,,,
,,,,,,,,,"""kita""",,,,,
,,,,,,,,,"""su vėliavėlėmis""",,,,,
,,,,,amzius,string,,,,4,open,,Vilko amžius,
,,,,,,enum,,,"""Vyresnis nei 1 metų amžiaus""",,,,,
,,,,,,,,,"""Jauniklis iki 1 metų amžiaus""",,,,,
,,,,,lytis,string,,,,4,open,,Vilko lytis,
,,,,,,enum,,,"""Patinas""",,,,,
,,,,,,,,,"""Patelė""",,,,,
,,,,,ar_pazeistas_niezu,boolean,,,,4,open,,"Požymis, ar vilkas buvo pažeistas niežų",
,,,,,ar_kiti_defektai,boolean,,,,4,open,,"Požymis, ar vilkas turėjo kitų defektų",
,,,,,ar_priklause_gaujai,boolean,,,,4,open,,"Požymis, ar vilkas priklausė gaujai",
,,,,,viso_gaujoje_vnt,integer,U,,,4,open,,Bendras vilkų skaičius gaujoje,
,,,,,suaugusiu_gaujoje_vnt,integer,U,,,4,open,,Bendras suaugusių vilkų skaičius gaujoje,
,,,,,jaunikliu_gaujoje_vnt,integer,U,,,4,open,,Bendras jauniklių skaičius gaujoje,
,,,,,geometrija,"geometry(point, 4326)	",,,,4,open,,Sumedžioto vilko taško koordinatė.,
