id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vstt/rusys,,,,,,,,,,,,,"Saugojamos rūšys,Saugojamų augalų, gyvūnų, grybų rūšių duomenys"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Rusis,,,,id,,4,,,Saugojamos rūšys,"Saugojamų augalų, gyvūnų, grybų rūšių duomenys"
,,,,,id,integer,,,,4,open,,Identifikavimo kodas,
,,,,,stebejimas,date,D,,,4,open,,Stebėjimo data,
,,,,,sukurimas,date,D,,,4,open,,Įrašo sukūrimo data,
,,,,,komentaras,string,,,,2,open,,Radavietės būsenos pastabos,
,,,,,skaicius,integer,U,,,4,open,,Stebėtos rūšies individų skaičius,
,,,,,tankumas_ha,number,U/ha,,,4,open,,Stebėtos rūšies individų tankumas,
,,,,,tankumas_kv,number,U/m^2,,,4,open,,Stebėtos rūšies individų tankumas,
,,,,,rusiu_stebejimas,string,,,,2,open,,Rūšių Stebėjimas,Stebėtos rūšies individai: kita (tik augalams ir grybams)
,,,,,pastabos,string,,,,2,open,,Stebėtojo pastabos,
,,,,,anketos_busena,string,,,,2,open,,Anketos būsena iš klasifikatorius,
,,,,,anketos_statusas,string,,,,4,open,,Anketos statusas,Anketos (stebėjimo) statusas iš klasifikatorius
,,,,,,enum,,,"""Aktuali""",,,,,
,,,,,,,,,"""Archyvinė""",,,,,
,,,,,biotopas,string,,,,4,open,,Biotopas,Stebėjimo biotopas (buveinė) ar kita informacija
,,,,,gyvunu_stebejimas,string,,,,4,open,,Veiklos požymis,Gyvūno veiklos požymiai iš klasifikatoriaus
,,,,,evoliucija,string,,,,4,open,,Vystymosi stadija,Gyvūno ar augalo vystymosi stadija iš klasifikatoriaus
,,,,,radavietes_busena,string,,,,4,open,,Radavietės būsena,
,,,,,rusis_lot,string,,,,4,open,,Rūšies pavadinimas lotyniškai,
,,,,,rusis_lt,string,,,,4,open,,Rūšies pavadinimas lietuviškai,
,,,,,klase,string,,,,4,open,,Klasės,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,karalyste,string,,,,4,open,,Karalystė,
,,,,,cell_id,integer,,,,4,open,,Gardelės identifikavimo numeris,
,,,,,sluoksnis,string,,,,4,open,,Sluoksnio geometrijos tipas,
,,,,,geometrija,geometry(3346),m,,,3,open,,Ploto geometrija,
