id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vulzk/medis,,,,,,,,,,,,Pacientų registracijos paslaugoms Žalgirio klinikoje,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Registracija,,,registracijos_id,,,4,,,Pacientų registracijos paslaugoms Žalgirio klinikoje,"Vilniaus universiteto ligoninės Žalgirio klinikos MED.I.S sistema kaupia pacientų asmeninius duomenis, kaip registracija vizitams pas gydytoją. Duomenys kaupiami nuo 1999 m. iki šiandienos. Kaupiami registracijos duomenys yra identifikatorius, data, kuriai registruotasi, įrašo sukūrimo bei keitimo datos. Patenkantys paciento duomenys yra jo šifruotas identifikatorius, lytis ir gimimo metai. Apimami gydytojo duomenys yra jo identifikatorius ir specialybė."
,,,,,registracijos_id,string,,,,4,open,,Identifikatorius,
,,,,,gydymo_registracijos_data,datetime,T,,,4,open,,"Data ir laikas minutės tikslumu, kuriam registruotasi pas gydytoją",
,,,,,registracijos_iraso_sukurimo_data,datetime,T,,,4,open,,Registracijos pas gydytoją įrašo sukūrimo data ir laikas minutės tikslumu,
,,,,,registracijos_iraso_keitimo_data,datetime,T,,,4,open,,Registracijos pas gydytoją įrašo keitimo data ir laikas minutės tikslumu,
,,,,,paciento_id,string,,,,4,open,,Paciento identifikatorius,
,,,,,paciento_lytis,string,,,,4,open,,Paciento lytis,
,,,,,,enum,,,,,,,,
,,,,,,,,V,"""vyras""",,,,Vyras,
,,,,,,,,M,"""moteris""",,,,Moteris,
,,,,,,,,X,"""kita""",,,,Kita,
,,,,,paciento_gimimo_metai,datetime,Y,,,4,open,,Paciento gimimo metai,
,,,,,gydytojo_id,string,,,,4,open,,"Gydytojo, pas kurį registruotasi, identifikatorius",
,,,,,gydytojo_specialybe,string,,,,4,open,,"Gydytojo, pas kurį registruotasi, specialybė",
