id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vvkt/vaistiniai_preparatai,,,,,,,,,,,,Valstybinės vaistų kontrolės registruotų vaistinių preparatų duomenų rinkinys,"""Rinkinyje pateikiami duomenys apie vaistinius preparatus sukauptus VVKT (Valstybės vaistų kontrolės tarnybos). Rinkinyje nurodomos vaistinių preparatų charakteristikos: preparato pavadinimas, preparate esanti veiklioji medžiaga, stiprumas, vaistinio preparato farmacinė forma ir vartojimo būdai, kokiai grupei ir pogrupiui priskiriamas vaistinis preparatas, vaistinio preparato recepto poreikis, stebėjimo ir kontrolės būsenos, pirmos registracijos, bei paskutinio perregistravimo data, dabartinė preparato stadija, taip pat preparatą registruojančios įmonės pavadinimas ir šalis. Rinkinyje taip pat yra informacijos apie vaistinių preparatų pakuotes: pakuotės tiekimo būsena, pakuotės tipas, pakuotės aprašymas. Rinkinys sudarytas iš dviejų lentelių:
* Vaistinis preparatas (Informacija apie vaistinį preparatą ir jo pakuotes) - viena eilutė yra informacija apie vaistinį preparatą ir jo pakuotę. Eilutei unikalumą suteikia vid ir pakid stulpelių pora.
* Vaistinio preparato stadijos (Informacija apie vaistinio preparato stadijų pokyčius laike) - vieną eilutę sudaro vaistinis preparatas ir informacija apie stadijos pasikeitimą. Eilutei unikalumą suteikia vid, stadija ir stadija_sukurta stulpelių kombinacija.
Abi lenteles galima sujungti per vid stulpelius.
Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt"""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues,,
,,,,,,,,,,,,,,
,,,,PreparatasPakuote,,,vda_id,,,4,,,Valstybinės vaistų kontrolės tarnybos duomenys apie vaistinius preparatus ir jų pakuotes,"""Duomenys apie VVKT (Valstybinės vaistų kontrolės tarnybos) registruotus vaistinius preparatus ir jų pakuotes. Vieną eilutę sudaro - unikalus vaistinio preparato identifikacinis numeris, vaistinio preparato pakuotės identifikaciniai numeriai, taip pat informacija apie tai, kokia veiklioji(-iosios) medžiaga(-os) sudaro vaistinį preparatą, koks vaistinio preparato stiprumas, farmacinė forma(-os), grupė ir pogrupis, recepto poreikis, vaistinio preparato stebėjimo ir kontrolės būsenos, tiekimo Lietuvos Respublikos rinkai pagrindas, kada vaistinis preparatas pirmą kartą užregistruotas, kada paskutinį kartą perregistruotas ir kokia dabartinė vaistinio preparato stadija (""Registruotas"", ""Išregistruotas"", ""Perregistruotas""), bei informacija apie vaistinio preparato tiekėją - juridinio asmens pavadinimas ir šalis, bei paraiškos tipas. Eilutėje taip pat yra informacija apie vaistinio preparato pakuotę - pakuotės tiekimo būsena, registracijos numeris, tipas, aprašymas, recepto poreikis. Paskutiniai du stulpeliai nurodo informacija apie duomenų naujumą, t.y., kada įrašas apie vaistinį preparatą (vid_atnaujintas) arba vaistinio preparato pakuotę (pakid_atnaujintas) buvo atnaujintas paskutinį kartą VVKT informacinėje sistemoje."""
,,,,,vda_id,string,,,,4,open,,VDA ID,Valstybės Duomenų Agentūros įrašo identifikatorius.
,,,,,vid,string,,,,4,open,,Vaisto ID,"""Unikalus vaistinio preparato identifikatorius, automatiškai generuojamas sistemos."""
,,,,,pak_id,string,,,,4,open,,Pakuotės ID,"""Unikalus vaistinio preparato pakuotės identifikatorius, automatiškai generuojamas sistemos, kiekvienai naujai vaistinio preparato pakuotei didinamas vienetu."""
,,,,,npak_id,string,,,,4,open,,Nacionalinis pakuotės ID ,"""Unikalus nacionalinis vaistinio preparato pakuotės identifikatorius, automatiškai generuojamas sistemos, kiekvienai naujai vaistinio preparato pakuotei didinamas vienetu."""
,,,,,npak7_id,string,,,,4,open,,Septynių skaitmenų pakuotės ID,"""Unikalus nacionalinis septynženklis vaistinio preparato pakuotės identifikatorius, automatiškai generuojamas sistemos: prie npak_id pridedamas skaičius 1000000."""
