id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vvtat/klasifikatoriai,,,,,,,,,,,,Duomenys apie VVTAT klasifikatorius,Rinkinyje pateikiami duomenys apie Valstybinės vartotojų teisių apsaugos tarnybos naudojamus klasifikatorius
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Nenustatyta,,,vda_id,,,4,,,VVTAT nenustatytų skundų priežasčių klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Skundo nenustatymo priežasties identifikacinis numeris,
,,,,,pavadinimas_lt,string,,,,4,open,,Skundo nenustatymo priežastis,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Nepagrista,,,vda_id,,,4,,,VVTAT nepagrįstų skundų priežasčių klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Skundo nepagrįstumo priežasties kodas,
,,,,,pavadinimas_lt,string,,,,4,open,,Skundo nepagrįstumo priežastis,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,D,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Priemone,,,vda_id,,,4,,,VVTAT patikrintų įmonių savanoriškų priemonių klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Savanoriškos priemonės identifikacinis numeris,
,,,,,pavadinimas_lt,string,,,,4,open,,Savanoriškos priemonės tipas,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Rizika,,,vda_id,,,4,,,VVTAT rizikos vertinimų klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Rizikos įvertinimo kodas,
,,,,,pavadinimas_lt,string,,,,4,open,,Rizikos įverčio pavadinimas,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Sritis,,,vda_id,,,4,,,VVTAT taikymo sričių klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Taikymo srities identifikacinis numeris,
,,,,,posisteme,string,,,,4,open,,Taikymo posisteme,
,,,,,pavadinimas_lt,string,,,,4,open,,Taikymo sritis,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Rezultatas,,,vda_id,,,4,,,VVTAT tirtų skundų rezultatų klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,kodas,string,,,,4,open,,Skundo tyrimo rezultato identifikacinis numeris,
,,,,,pavadinimas_lt,string,,,,4,open,,Skundo tyrimo rezultato reikšmė,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,D,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Nusiskundimas,,,kodas,,,4,,,VVTAT vartotojų nusiskundimo pobūdžių klasifikatorius,
,,,,,kodas,string,,,,4,open,,Pobūdžio kodas,
,,,,,pavadinimas,string,,,,4,open,,Nusikundimo pobūdis,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,D,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
,,,,Pozymis,,,vda_id,,,4,,,VVTAT patikrinimų metu nustatytų pažeidimų požymių klasifikatorius,
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,pavadinimas_lt,string,,,,4,open,,Požymio pavadinimas,
,,,,,galioja_nuo,date,D,,,4,open,,Klasifikatoriaus galiojimo pradžia,
,,,,,galioja_iki,date,D,,,4,open,,Klasifikatoriaus galiojimo pabaiga,
,,,,,,,,,,,,,,
