id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/aviu_ozku_pasiskirstymas,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,aop,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,AviuOzkuPasiskirstymas,,,savivaldybe,,,2,,,Aviu ir ožkų laikytojų pasiskirstymas,
,,,,,savivaldybe,string,,﻿Gyvūno bandos savivaldybės pavadinimas ,,2,open,,﻿Gyvūno bandos savivaldybės pavadinimas ,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,avys_laik,integer,U,"Asmenų, kurie laiko avis savivaldybėje, skaičius",,4,open,,"Asmenų,  kurie laiko avis, skaičius",
,,,,,avys,integer,U,Avių skaičius,,4,open,,Avių skaičius,
,,,,,ozkos_laik,integer,U,"Asmenų, kurie laiko ožkas savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko ožkas, skaičius",
,,,,,ozkos,integer,U,Ožkų skaičius,,4,open,,Ožkų skaičius,
,,,,,avys_ozkos_laik,integer,U,"Asmenų, kurie laiko avis ir ožkas savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko avis arba ožkos, skaičius",
,,,,,avys_ozkos,integer,U,Avių ir ožkų skaičius,,4,open,,Avių ir ožkų skaičius,
