id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/bandos_gyvuliai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,bg,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,BanduGyvuliuSkaicius,,,savivaldybe,,,2,,,Registruotų bandų ir gyvūlių skaičius savivaldybėse,
,,,,,savivaldybe,string,,Gyvūno bandos savivaldybės pavadinimas,,2,open,,Savivaldybės pavadinimas,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,galviju_bandu_sk,integer,U,Galvijų bandų savivaldybėje skaičius,,4,open,,Galvijų bandų skaičius,
,,,,,galviju_sk,integer,U,Galvijų savivaldybėje skaičius,,4,open,,Galvijų skaičius,
,,,,,aviu_bandu_sk,integer,U,Avių bandų savivaldybėje skaičius,,4,open,,Avių bandų skaičius,
,,,,,aviu_sk,integer,U,Avių savivaldybėje skaičius,,4,open,,Avių skaičius,
,,,,,ozku_bandu_sk,integer,U,Ožkų bandų savivaldybėje skaičius,,4,open,,Ožkų bandų skaičius,
,,,,,ozku_sk,integer,U,Ožkų savivaldybėje skaičius,,4,open,,Ožkų skaičius,
,,,,,arkliu_bandu_sk,integer,U,Arklių bandų savivaldybėje skaičius,,4,open,,Arklių bandų skaičius,
,,,,,arkliu_sk,integer,U,Arklių savivaldybėje skaičius,,4,open,,Arklių skaičius,
