id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/galvijai_lytys_amzius,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,gla,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,GalvijuLyciuAmziausPasiskirstymas,,,savivaldybe,,,2,,,Galvijų pasiskirstymas pagal lytis ir amžiaus grupes,
,,,,,savivaldybe,string,,﻿Gyvūno bandos savivaldybės pavadinimas ,,2,open,,﻿Gyvūno bandos savivaldybės pavadinimas ,
,,,,,bul_0_8,integer,U,Bulių iki 8 mėnesių amžiaus skaičius,,4,open,,Bulių iki 8 mėnesių amžiaus skaičius,
,,,,,tel_0_8,integer,U,Telyčių iki 8 mėnesių amžiaus skaičius,,4,open,,Telyčių iki 8 mėnesių amžiaus skaičius,
,,,,,bul_8_12,integer,U,Bulių nuo 8 (imtinai) iki 12 mėnesių amžiaus skaičius,,4,open,,Bulių nuo 8 iki 12 mėnesių amžiaus skaičius,
,,,,,tel_8_12,integer,U,Telyčių nuo 8 (imtinai) iki 12 mėnesių amžiaus skaičius,,4,open,,Telyčių nuo 8 iki 12 mėnesių amžiaus skaičius,
,,,,,bul_12_24,integer,U,Bulių nuo 12 (imtinai) iki 24 mėnesių amžiaus skaičius,,4,open,,Bulių nuo 12 iki 24 mėnesių amžiaus skaičius,
,,,,,tel_12_24,integer,U,Telyčių nuo 12 (imtinai) iki 24 mėnesių amžiaus skaičius,,4,open,,Telyčių nuo 12 iki 24 mėnesių amžiaus skaičius,
,,,,,bul_24,integer,U,Bulių virš 24 mėnesių amžiaus skaičius,,4,open,,Bulių virš 24 mėnesių amžiaus skaičius,
,,,,,tel_24,integer,U,Telyčių virš 24 mėnesių amžiaus skaičius,,4,open,,Telyčių virš 24 mėnesių amžiaus skaičius,
